========================================
= 任务ID数据，由灰色枫叶GM工具自动生成 =
========================================
任务ID:85 名字:被选择者的象征      STR值：STR_QUEST_NAME_Q9510
任务ID:1072 名字:欧比斯基础教育      STR值：STR_QUEST_NAME_Q1072
任务ID:1073 名字:拯救天族俘虏      STR值：STR_QUEST_NAME_Q1073
任务ID:1074 名字:记忆的片段      STR值：STR_QUEST_NAME_Q1074
任务ID:1075 名字:快速疾走      STR值：STR_QUEST_NAME_Q1075
任务ID:1076 名字:记忆的片段 2      STR值：STR_QUEST_NAME_Q1076
任务ID:1077 名字:记忆的片段 3      STR值：STR_QUEST_NAME_Q1077
任务ID:1078 名字:临时      STR值：STR_QUEST_NAME_Q0001
任务ID:1079 名字:临时      STR值：STR_QUEST_NAME_Q0001
任务ID:1091 名字:结界守护者的委托      STR值：STR_QUEST_NAME_Q1091
任务ID:1092 名字:泰奥勃莫斯的伤痕      STR值：STR_QUEST_NAME_Q1092
任务ID:1093 名字:克里顿的遗迹      STR值：STR_QUEST_NAME_Q1093
任务ID:1094 名字:泰奥勃莫斯的秘密研究      STR值：STR_QUEST_NAME_Q1094
任务ID:1096 名字:过去的任务      STR值：STR_QUEST_NAME_Q1096
任务ID:1097 名字:超越之剑      STR值：STR_QUEST_NAME_Q1097
任务ID:1098 名字:保护之珠      STR值：STR_QUEST_NAME_Q1098
任务ID:1099 名字:重要的选择      STR值：STR_QUEST_NAME_Q1099
任务ID:1100 名字:佣兵团长的呼叫      STR值：STR_QUEST_NAME_Q1100
任务ID:1101 名字:新的任务      STR值：STR_QUEST_NAME_Q1101
任务ID:1102 名字:狩猎凯鲁宾      STR值：STR_QUEST_NAME_Q1102
任务ID:1103 名字:找回谷物      STR值：STR_QUEST_NAME_Q1103
任务ID:1104 名字:任务执行报告      STR值：STR_QUEST_NAME_Q1104
任务ID:1105 名字:令人头疼的象鼻虫      STR值：STR_QUEST_NAME_Q1105
任务ID:1106 名字:卡尔雷斯的委托      STR值：STR_QUEST_NAME_Q1106
任务ID:1107 名字:伐木工的遗失品      STR值：STR_QUEST_NAME_Q1107
任务ID:1108 名字:乌诺的料理材料      STR值：STR_QUEST_NAME_Q1108
任务ID:1109 名字:无主的物品      STR值：STR_QUEST_NAME_Q1109
任务ID:1110 名字:为了纳姆斯的书      STR值：STR_QUEST_NAME_Q1110
任务ID:1111 名字:失眠治疗剂      STR值：STR_QUEST_NAME_Q1111
任务ID:1112 名字:克利奥尼湖的不速之客      STR值：STR_QUEST_NAME_Q1112
任务ID:1113 名字:蘑菇大盗      STR值：STR_QUEST_NAME_Q1113
任务ID:1114 名字:仙女的羽衣      STR值：STR_QUEST_NAME_Q1114
任务ID:1115 名字:森林与湖水的警告      STR值：STR_QUEST_NAME_Q1115
任务ID:1116 名字:慧眼之衣1      STR值：STR_QUEST_NAME_Q1116
任务ID:1117 名字:能照亮黑夜的物品      STR值：STR_QUEST_NAME_Q1117
任务ID:1118 名字:弗里尼亚的软膏      STR值：STR_QUEST_NAME_Q1118
任务ID:1119 名字:罗尼安拜托的药酒      STR值：STR_QUEST_NAME_Q1119
任务ID:1120 名字:扫荡野狼      STR值：STR_QUEST_NAME_Q1120
任务ID:1121 名字:奥兹的默珠      STR值：STR_QUEST_NAME_Q1121
任务ID:1122 名字:慧眼之衣2      STR值：STR_QUEST_NAME_Q1122
任务ID:1123 名字:失踪的托蒂1      STR值：STR_QUEST_NAME_Q1123
任务ID:1124 名字:失踪的托蒂2      STR值：STR_QUEST_NAME_Q1124
任务ID:1125 名字:奇怪的矿石      STR值：STR_QUEST_NAME_Q1125
任务ID:1126 名字:梅尔普内的研究材料      STR值：STR_QUEST_NAME_Q1126
任务ID:1127 名字:古代的箱子      STR值：STR_QUEST_NAME_Q1127
任务ID:1128 名字:伊诺的越狱计划      STR值：STR_QUEST_NAME_Q1128
任务ID:1129 名字:侦察特姆利亚废矿      STR值：STR_QUEST_NAME_Q1129
任务ID:1130 名字:贝尔特伦要塞队长的命令      STR值：STR_QUEST_NAME_Q1130
任务ID:1131 名字:未送到的防具      STR值：STR_QUEST_NAME_Q1131
任务ID:1132 名字:正直的商人      STR值：STR_QUEST_NAME_Q1132
任务ID:1133 名字:狩猎寄居蟹      STR值：STR_QUEST_NAME_Q1133
任务ID:1134 名字:被污染的水源      STR值：STR_QUEST_NAME_Q1134
任务ID:1135 名字:变成托格的守卫      STR值：STR_QUEST_NAME_Q1135
任务ID:1136 名字:帅气的武器装饰      STR值：STR_QUEST_NAME_Q1136
任务ID:1137 名字:古代寄居蟹化石      STR值：STR_QUEST_NAME_Q1137
任务ID:1138 名字:母亲的担心      STR值：STR_QUEST_NAME_Q1138
任务ID:1139 名字:森林里的不法之徒      STR值：STR_QUEST_NAME_Q1139
任务ID:1140 名字:失去主人的稻草人      STR值：STR_QUEST_NAME_Q1140
任务ID:1141 名字:巴尔波亚的宝贝      STR值：STR_QUEST_NAME_Q1141
任务ID:1142 名字:贪婪的结果      STR值：STR_QUEST_NAME_Q1142
任务ID:1143 名字:诺拉的委托      STR值：STR_QUEST_NAME_Q1143
任务ID:1144 名字:收获南瓜的季节      STR值：STR_QUEST_NAME_Q1144
任务ID:1145 名字:[采集]采集库库勒      STR值：STR_QUEST_NAME_Q1145
任务ID:1146 名字:敏感的植物曼德拉草      STR值：STR_QUEST_NAME_Q1146
任务ID:1147 名字:发给自卫团的补给物资      STR值：STR_QUEST_NAME_Q1147
任务ID:1148 名字:吹牛大王罗斯德斯      STR值：STR_QUEST_NAME_Q1148
任务ID:1149 名字:消失的波比      STR值：STR_QUEST_NAME_Q1149
任务ID:1150 名字:老人的信      STR值：STR_QUEST_NAME_Q1150
任务ID:1151 名字:巴尔波亚的下落      STR值：STR_QUEST_NAME_Q1151
任务ID:1152 名字:奥黛尔拉烹饪方法      STR值：STR_QUEST_NAME_Q1152
任务ID:1153 名字:专为西亚诺的营养餐      STR值：STR_QUEST_NAME_Q1153
任务ID:1154 名字:特制煎蛋卷的秘密      STR值：STR_QUEST_NAME_Q1154
任务ID:1155 名字:找回补给物资      STR值：STR_QUEST_NAME_Q1155
任务ID:1156 名字:消失的村落印章      STR值：STR_QUEST_NAME_Q1156
任务ID:1157 名字:加皮尔的爱情      STR值：STR_QUEST_NAME_Q1157
任务ID:1158 名字:找回的村落印章      STR值：STR_QUEST_NAME_Q1158
任务ID:1159 名字:摘取毒囊      STR值：STR_QUEST_NAME_Q1159
任务ID:1160 名字:被盗的首饰      STR值：STR_QUEST_NAME_Q1160
任务ID:1161 名字:[魔石交换]魔石去除师协会的公益事业      STR值：STR_QUEST_NAME_Q1161
任务ID:1162 名字:丢失了的结婚戒指      STR值：STR_QUEST_NAME_Q1162
任务ID:1163 名字:治疗的药水      STR值：STR_QUEST_NAME_Q1163
任务ID:1164 名字:商人的信用      STR值：STR_QUEST_NAME_Q1164
任务ID:1165 名字:向尊敬的巡礼者      STR值：STR_QUEST_NAME_Q1165
任务ID:1166 名字:提取被污染的体液      STR值：STR_QUEST_NAME_Q1166
任务ID:1167 名字:处于困境的巡礼者      STR值：STR_QUEST_NAME_Q1167
任务ID:1168 名字:昏睡蘑菇      STR值：STR_QUEST_NAME_Q1168
任务ID:1169 名字:闪电腿图卡      STR值：STR_QUEST_NAME_Q1169
任务ID:1170 名字:无头的石像      STR值：STR_QUEST_NAME_Q1170
任务ID:1171 名字:互相牵挂的两颗心      STR值：STR_QUEST_NAME_Q1171
任务ID:1172 名字:鲁莽的打赌      STR值：STR_QUEST_NAME_Q1172
任务ID:1173 名字:扫荡斯莱姆      STR值：STR_QUEST_NAME_Q1173
任务ID:1174 名字:德布里的血液      STR值：STR_QUEST_NAME_Q1174
任务ID:1175 名字:消灭路皮里尼      STR值：STR_QUEST_NAME_Q1175
任务ID:1176 名字:卡尔克盖伦的精髓      STR值：STR_QUEST_NAME_Q1176
任务ID:1177 名字:采集神秘石      STR值：STR_QUEST_NAME_Q1177
任务ID:1178 名字:不死的植物      STR值：STR_QUEST_NAME_Q1178
任务ID:1179 名字:休息休息吧，兄弟啊！      STR值：STR_QUEST_NAME_Q1179
任务ID:1180 名字:供奉给神殿的贡品      STR值：STR_QUEST_NAME_Q1180
任务ID:1181 名字:[组队]减少克拉尔的数量      STR值：STR_QUEST_NAME_Q1181
任务ID:1182 名字:古代的石雕      STR值：STR_QUEST_NAME_Q1182
任务ID:1183 名字:自然的精气      STR值：STR_QUEST_NAME_Q1183
任务ID:1184 名字:卡利奥斯的调查报告      STR值：STR_QUEST_NAME_Q1184
任务ID:1185 名字:日益凶残的精灵      STR值：STR_QUEST_NAME_Q1185
任务ID:1186 名字:椰林的天敌格力玛      STR值：STR_QUEST_NAME_Q1186
任务ID:1187 名字:[魔石交换]为魔石去除师修炼生提供支持      STR值：STR_QUEST_NAME_Q1187
任务ID:1188 名字:秘密传话      STR值：STR_QUEST_NAME_Q1188
任务ID:1189 名字:令人头疼的肯索利德      STR值：STR_QUEST_NAME_Q1189
任务ID:1190 名字:遇难船的雷帕尔革命团      STR值：STR_QUEST_NAME_Q1190
任务ID:1191 名字:紧急的书信      STR值：STR_QUEST_NAME_Q1191
任务ID:1192 名字:贝尔特伦要塞的支援请求      STR值：STR_QUEST_NAME_Q1192
任务ID:1193 名字:[组队]克拉尔的阴谋      STR值：STR_QUEST_NAME_Q1193
任务ID:1194 名字:[组队]削弱图尔辛的战斗力之战      STR值：STR_QUEST_NAME_Q1194
任务ID:1195 名字:[组队]消灭图尔辛族长      STR值：STR_QUEST_NAME_Q1195
任务ID:1196 名字:[铸币]消灭残暴的精灵      STR值：STR_QUEST_NAME_Q1196
任务ID:1197 名字:克拉尔的书      STR值：STR_QUEST_NAME_Q1197
任务ID:1198 名字:插在墙壁里的信      STR值：STR_QUEST_NAME_Q1198
任务ID:1199 名字:爱南特的委托      STR值：STR_QUEST_NAME_Q1199
任务ID:1200 名字:呜咽的爱南特      STR值：STR_QUEST_NAME_Q1200
任务ID:1201 名字:加伊奥内的委托      STR值：STR_QUEST_NAME_Q1201
任务ID:1202 名字:[组队]不知放弃的克拉尔      STR值：STR_QUEST_NAME_Q1202
任务ID:1203 名字:依然备受威胁的椰林      STR值：STR_QUEST_NAME_Q1203
任务ID:1204 名字:尚未解除的肯索利德的威胁      STR值：STR_QUEST_NAME_Q1204
任务ID:1205 名字:新的技能      STR值：STR_QUEST_NAME_Q1205
任务ID:1206 名字:摘取安杰丽卡花      STR值：STR_QUEST_NAME_Q1206
任务ID:1207 名字:图拉的自鸣琴      STR值：STR_QUEST_NAME_Q1207
任务ID:1208 名字:[采集]隐秘的交易      STR值：STR_QUEST_NAME_Q1208
任务ID:1209 名字:[铸币报酬]铁铸币（战士、侦察者阶层）      STR值：STR_QUEST_NAME_Q1209
任务ID:1210 名字:[采集]战胜疲倦的物品      STR值：STR_QUEST_NAME_Q1210
任务ID:1211 名字:灵魂治愈师的药水      STR值：STR_QUEST_NAME_Q1211
任务ID:1212 名字:[铸币报酬]铁铸币 （法师、祭司阶层）      STR值：STR_QUEST_NAME_Q1212
任务ID:1213 名字:[采集]拉高斯的委托      STR值：STR_QUEST_NAME_Q1213
任务ID:1214 名字:[采集]来往的情谊      STR值：STR_QUEST_NAME_Q1214
任务ID:1215 名字:[采集]大家都喜欢的食材      STR值：STR_QUEST_NAME_Q1215
任务ID:1216 名字:为了拯救波雷尔      STR值：STR_QUEST_NAME_Q1216
任务ID:1217 名字:污染海岸的箱子      STR值：STR_QUEST_NAME_Q1217
任务ID:1218 名字:乌蒙的催款书      STR值：STR_QUEST_NAME_Q1218
任务ID:1219 名字:革命团的宝物箱子      STR值：STR_QUEST_NAME_Q1219
任务ID:1220 名字:秘密快递      STR值：STR_QUEST_NAME_Q1220
任务ID:1221 名字:洗脑的图尔辛克拉尔      STR值：STR_QUEST_NAME_Q1221
任务ID:1222 名字:[魔石批量交换]珀碧娜的魔石袋      STR值：STR_QUEST_NAME_Q1222
任务ID:1223 名字:[魔石批量交换]珀碧娜的魔石包袱      STR值：STR_QUEST_NAME_Q1223
任务ID:1224 名字:阿南特里特的召唤 1      STR值：STR_QUEST_NAME_Q1224
任务ID:1225 名字:阿南特里特的召唤 2      STR值：STR_QUEST_NAME_Q1225
任务ID:1230 名字:转告马德尔林的话      STR值：STR_QUEST_NAME_Q1230
任务ID:1231 名字:无法和解的恋人      STR值：STR_QUEST_NAME_Q1231
任务ID:1300 名字:埃尔特内要塞队长的命令      STR值：STR_QUEST_NAME_Q1300
任务ID:1301 名字:[采集]提取奥德精气      STR值：STR_QUEST_NAME_Q1301
任务ID:1302 名字:不稳定的森林之奥德      STR值：STR_QUEST_NAME_Q1302
任务ID:1303 名字:日益凶残的路皮里尼      STR值：STR_QUEST_NAME_Q1303
任务ID:1304 名字:为了自然的平衡      STR值：STR_QUEST_NAME_Q1304
任务ID:1305 名字:尚未解除的龙蜥兽的威胁      STR值：STR_QUEST_NAME_Q1305
任务ID:1306 名字:肃清曼杜里森林      STR值：STR_QUEST_NAME_Q1306
任务ID:1307 名字:找回物品      STR值：STR_QUEST_NAME_Q1307
任务ID:1308 名字:狡猾的昆都      STR值：STR_QUEST_NAME_Q1308
任务ID:1309 名字:曼杜里的日记      STR值：STR_QUEST_NAME_Q1309
任务ID:1310 名字:旨在促进森林复原的研究      STR值：STR_QUEST_NAME_Q1310
任务ID:1311 名字:希望的苗木      STR值：STR_QUEST_NAME_Q1311
任务ID:1312 名字:希望的传达      STR值：STR_QUEST_NAME_Q1312
任务ID:1313 名字:曼杜里森林的威胁      STR值：STR_QUEST_NAME_Q1313
任务ID:1314 名字:椰林族的问候      STR值：STR_QUEST_NAME_Q1314
任务ID:1315 名字:椰林的敌人斯莱姆      STR值：STR_QUEST_NAME_Q1315
任务ID:1316 名字:椰林的敌人刺魔      STR值：STR_QUEST_NAME_Q1316
任务ID:1317 名字:椰林的复仇      STR值：STR_QUEST_NAME_Q1317
任务ID:1318 名字:克鲁比安的角      STR值：STR_QUEST_NAME_Q1318
任务ID:1319 名字:弗洛利泰的钱      STR值：STR_QUEST_NAME_Q1319
任务ID:1320 名字:狩猎库雷斯      STR值：STR_QUEST_NAME_Q1320
任务ID:1321 名字:椰林族的悲剧      STR值：STR_QUEST_NAME_Q1321
任务ID:1322 名字:罗达斯的礼物      STR值：STR_QUEST_NAME_Q1322
任务ID:1323 名字:丢失的宝石箱子      STR值：STR_QUEST_NAME_Q1323
任务ID:1324 名字:向前哨基地传话      STR值：STR_QUEST_NAME_Q1324
任务ID:1325 名字:露盘特的螯      STR值：STR_QUEST_NAME_Q1325
任务ID:1326 名字:呱噪的火鸟      STR值：STR_QUEST_NAME_Q1326
任务ID:1327 名字:威胁安全的潘多兰盖伦      STR值：STR_QUEST_NAME_Q1327
任务ID:1328 名字:马艾奇的威胁      STR值：STR_QUEST_NAME_Q1328
任务ID:1329 名字:尊敬师长的心      STR值：STR_QUEST_NAME_Q1329
任务ID:1330 名字:[铸币]沙塔罗卡的心脏的不良影响      STR值：STR_QUEST_NAME_Q1330
任务ID:1331 名字:[铸币报酬]铜铸币21级（战士、侦察者阶层）      STR值：STR_QUEST_NAME_Q1331
任务ID:1332 名字:[铸币报酬]铜铸币26级（战士、侦察者阶层）       STR值：STR_QUEST_NAME_Q1332
任务ID:1333 名字:阿盖伦-德雷克研究      STR值：STR_QUEST_NAME_Q1333
任务ID:1334 名字:火之剑      STR值：STR_QUEST_NAME_Q1334
任务ID:1335 名字:支援沙漠侦察队      STR值：STR_QUEST_NAME_Q1335
任务ID:1336 名字:埃拉库斯沙漠调查      STR值：STR_QUEST_NAME_Q1336
任务ID:1337 名字:真正的朋友      STR值：STR_QUEST_NAME_Q1337
任务ID:1338 名字:侦察队长的委托      STR值：STR_QUEST_NAME_Q1338
任务ID:1339 名字:扫荡蝎兽      STR值：STR_QUEST_NAME_Q1339
任务ID:1340 名字:清楚沙漠的威胁      STR值：STR_QUEST_NAME_Q1340
任务ID:1341 名字:首饰的材料      STR值：STR_QUEST_NAME_Q1341
任务ID:1342 名字:日益凶残的科塞利德      STR值：STR_QUEST_NAME_Q1342
任务ID:1343 名字:慢性子安迪米温      STR值：STR_QUEST_NAME_Q1343
任务ID:1344 名字:侦察队报告      STR值：STR_QUEST_NAME_Q1344
任务ID:1345 名字:在沙漠里找到的戒指      STR值：STR_QUEST_NAME_Q1345
任务ID:1346 名字:进入地下神殿的资格      STR值：STR_QUEST_NAME_Q1346
任务ID:1347 名字:纽特的袭击      STR值：STR_QUEST_NAME_Q1347
任务ID:1348 名字:扫荡纽特      STR值：STR_QUEST_NAME_Q1348
任务ID:1349 名字:纽特的秘密      STR值：STR_QUEST_NAME_Q1349
任务ID:1350 名字:[铸币]沙漠中的危险动物      STR值：STR_QUEST_NAME_Q1350
任务ID:1351 名字:[组队]获得马拉娜的认可      STR值：STR_QUEST_NAME_Q1351
任务ID:1352 名字:[组队]德加尔比亚的诱惑      STR值：STR_QUEST_NAME_Q1352
任务ID:1353 名字:恢复健康的食物      STR值：STR_QUEST_NAME_Q1353
任务ID:1354 名字:上级飞行术考试      STR值：STR_QUEST_NAME_Q1354
任务ID:1355 名字:秘密的钥匙      STR值：STR_QUEST_NAME_Q1355
任务ID:1356 名字:阿伦的委托      STR值：STR_QUEST_NAME_Q1356
任务ID:1357 名字:德利顿的阻挠      STR值：STR_QUEST_NAME_Q1357
任务ID:1358 名字:泉水的精髓      STR值：STR_QUEST_NAME_Q1358
任务ID:1359 名字:布里隆的委托      STR值：STR_QUEST_NAME_Q1359
任务ID:1360 名字:布里隆的好意      STR值：STR_QUEST_NAME_Q1360
任务ID:1361 名字:取得食用水      STR值：STR_QUEST_NAME_Q1361
任务ID:1362 名字:母亲的遗物      STR值：STR_QUEST_NAME_Q1362
任务ID:1363 名字:感谢之词      STR值：STR_QUEST_NAME_Q1363
任务ID:1364 名字:去往阿盖伦村的旅行      STR值：STR_QUEST_NAME_Q1364
任务ID:1365 名字:新的信任      STR值：STR_QUEST_NAME_Q1365
任务ID:1366 名字:麻烦的马邦塔      STR值：STR_QUEST_NAME_Q1366
任务ID:1367 名字:布洛尼的特别食品      STR值：STR_QUEST_NAME_Q1367
任务ID:1368 名字:布洛尼的秘诀战术      STR值：STR_QUEST_NAME_Q1368
任务ID:1369 名字:马邦塔的传话      STR值：STR_QUEST_NAME_Q1369
任务ID:1370 名字:[组队]伊斯安的背叛      STR值：STR_QUEST_NAME_Q1370
任务ID:1371 名字:为伊斯安献花      STR值：STR_QUEST_NAME_Q1371
任务ID:1372 名字:取得食物      STR值：STR_QUEST_NAME_Q1372
任务ID:1373 名字:获取温泉水      STR值：STR_QUEST_NAME_Q1373
任务ID:1374 名字:送往拉塞宾神秘泉的警告      STR值：STR_QUEST_NAME_Q1374
任务ID:1375 名字:自卫团武器的材料      STR值：STR_QUEST_NAME_Q1375
任务ID:1376 名字:清扫库里乌鲁通道      STR值：STR_QUEST_NAME_Q1376
任务ID:1377 名字:[铸币]消灭克鲁比埃尔      STR值：STR_QUEST_NAME_Q1377
任务ID:1378 名字:补给物资送达      STR值：STR_QUEST_NAME_Q1378
任务ID:1379 名字:狩猎德雷克      STR值：STR_QUEST_NAME_Q1379
任务ID:1380 名字:狩猎特雷基      STR值：STR_QUEST_NAME_Q1380
任务ID:1381 名字:为巡礼者准备的皮革      STR值：STR_QUEST_NAME_Q1381
任务ID:1382 名字:找到难民      STR值：STR_QUEST_NAME_Q1382
任务ID:1383 名字:格里芬的威胁      STR值：STR_QUEST_NAME_Q1383
任务ID:1384 名字:火之鬃毛      STR值：STR_QUEST_NAME_Q1384
任务ID:1385 名字:救出格力普      STR值：STR_QUEST_NAME_Q1385
任务ID:1386 名字:危险的鸟妖      STR值：STR_QUEST_NAME_Q1386
任务ID:1387 名字:雷欧内的委托      STR值：STR_QUEST_NAME_Q1387
任务ID:1388 名字:与休美伦的交易      STR值：STR_QUEST_NAME_Q1388
任务ID:1389 名字:奇怪的一群人      STR值：STR_QUEST_NAME_Q1389
任务ID:1390 名字:大圣所的配送      STR值：STR_QUEST_NAME_Q1390
任务ID:1391 名字:RM-12b      STR值：STR_QUEST_NAME_Q1391
任务ID:1392 名字:神秘泉的结晶      STR值：STR_QUEST_NAME_Q1392
任务ID:1393 名字:新的飞行路径      STR值：STR_QUEST_NAME_Q1393
任务ID:1394 名字:告知新的飞行路径      STR值：STR_QUEST_NAME_Q1394
任务ID:1395 名字:妨碍革命团基地建设      STR值：STR_QUEST_NAME_Q1395
任务ID:1396 名字:扫荡建设基地作战      STR值：STR_QUEST_NAME_Q1396
任务ID:1397 名字:讨伐建设基地      STR值：STR_QUEST_NAME_Q1397
任务ID:1398 名字:[铸币报酬]银铸币36级（战士、侦察者阶层）      STR值：STR_QUEST_NAME_Q1398
任务ID:1399 名字:[铸币报酬]银铸币36级（法师、祭司阶层）      STR值：STR_QUEST_NAME_Q1399
任务ID:1400 名字:帕伊温的担心      STR值：STR_QUEST_NAME_Q1400
任务ID:1401 名字:谎言引出的谎言      STR值：STR_QUEST_NAME_Q1401
任务ID:1402 名字:火山地带的特产      STR值：STR_QUEST_NAME_Q1402
任务ID:1403 名字:阿穆特的心脏      STR值：STR_QUEST_NAME_Q1403
任务ID:1404 名字:地狱犬的阻挠      STR值：STR_QUEST_NAME_Q1404
任务ID:1405 名字:火山灰结晶      STR值：STR_QUEST_NAME_Q1405
任务ID:1406 名字:不祥的塔乌利      STR值：STR_QUEST_NAME_Q1406
任务ID:1407 名字:消灭塔乌利的幕后指使      STR值：STR_QUEST_NAME_Q1407
任务ID:1408 名字:守护结界塔      STR值：STR_QUEST_NAME_Q1408
任务ID:1409 名字:侦察麻麻奇部落      STR值：STR_QUEST_NAME_Q1409
任务ID:1410 名字:艾奥洛斯的呼叫      STR值：STR_QUEST_NAME_Q1410
任务ID:1411 名字:[组队]凯丹变强的理由      STR值：STR_QUEST_NAME_Q1411
任务ID:1412 名字:转达奥德药水      STR值：STR_QUEST_NAME_Q1412
任务ID:1413 名字:泰雷马科斯的命令      STR值：STR_QUEST_NAME_Q1413
任务ID:1414 名字:[组队]阻止提炼奥德石      STR值：STR_QUEST_NAME_Q1414
任务ID:1415 名字:[组队]削弱凯丹战斗力之作战      STR值：STR_QUEST_NAME_Q1415
任务ID:1416 名字:[组队]消灭山杜卡      STR值：STR_QUEST_NAME_Q1416
