action_id,action_constant,action_mapping,occurrences,distinct_quests,distinct_source_files,distinct_pages,button_text_samples_zh
4167,HACTION_SELECT10_2_1,exact,1,1,1,1,“我再考虑一下。”
6501,HACTION_SELECT11_1,exact,4,4,4,1,报告魔族入侵地下奥德矿山的事情。 | 继续听。 | 报告天族入侵地下奥德矿山的事情。
6502,HACTION_SELECT11_1_1,exact,2,2,2,1,给她看陷入沉睡的贤者，报告之前的事情。 | 给他看陷入沉睡的贤者，报告之前的事情。
6842,HACTION_SELECT12_1,exact,6,6,6,1,谁是亚特雷亚的守护者？ | 因为碎片的影响出现了间歇泉 | 说我也不知道为什么。
6843,HACTION_SELECT12_1_1,exact,2,2,2,1,敷衍点头。
7523,HACTION_SELECT14,exact,2,2,2,1,说在回收塔之碎片时遇到了魔族的事情。 | 说在回收塔之碎片时遇到了天族的事情。
7524,HACTION_SELECT14_1,exact,2,2,2,1,稍等片刻。
1012,HACTION_SELECT1_1,exact,1618,1572,1572,7,询问是什么事情。 | 难道不是为了消灭提亚马特吗？ | 继续听。 | 询问英吉斯温前哨基地的情况。 | 摇头。
1013,HACTION_SELECT1_1_1,exact,232,214,214,6,点头。 | 其中可能会有你的派遣队员。 | 继续听。 | 询问该如何帮忙。 | 只有布里特拉军可以？
1014,HACTION_SELECT1_1_1_1,exact,35,35,35,1,点头。 | 继续听。 | 说愿意帮忙。 | “原来如此。” | 答应。
1019,HACTION_SELECT1_1_1_2,exact,6,6,6,1,请求传送到极乐世界。 | 我想去极乐世界地下竞技场。 | 要求现在送过去。 | 说忙，拒绝。
1024,HACTION_SELECT1_1_1_3,exact,3,3,3,1,我想去魔界。
1034,HACTION_SELECT1_1_2,exact,31,31,31,1,说任务太麻烦了。 | 不愿意。 | 选择加工。 | 我想要交换下衣。 | 我拥有大剑。
1055,HACTION_SELECT1_1_3,exact,12,12,12,1,我想要交换鞋子。 | 我拥有战戟。 | 我想交换鞋子。 | 我有战戟。
1076,HACTION_SELECT1_1_4,exact,12,12,12,1,我想要交换护肩。 | 我拥有短剑。 | 我想交换护肩。 | 我有短剑。
5103,HACTION_SELECT1_1_5,exact,12,12,12,1,我想要交换手套。 | 我拥有弓。 | 我想交换手套。 | 我有弓。
1097,HACTION_SELECT1_2,exact,132,124,124,4,继续对话。 | 用1200个秘银铸币交换上衣。 | 继续听。 | 选择防御用制作技术。 | 我想购买艾尔米提亚之大剑图案。
1098,HACTION_SELECT1_2_1,exact,19,19,19,1,继续听。 | 选择金属盔甲制作。 | 我想要交换上衣。 | 我拥有权杖。 | 接受。
1099,HACTION_SELECT1_2_1_1,exact,1,1,1,1,需要我做什么呢？
1119,HACTION_SELECT1_2_2,exact,18,18,18,1,选择裁缝。 | 我想要交换下衣。 | 我拥有法杖。 | 拒绝。 | 我想交换下衣。
1140,HACTION_SELECT1_2_3,exact,12,12,12,1,我想要交换鞋子。 | 我拥有法书。 | 我想交换鞋子。 | 我有法书。
1161,HACTION_SELECT1_2_4,exact,12,12,12,1,我想要交换护肩。 | 我拥有宝珠。 | 我想交换护肩。 | 我有宝珠。
5104,HACTION_SELECT1_2_5,exact,6,6,6,1,我想要交换手套。 | 我想交换手套。
1182,HACTION_SELECT1_3,exact,117,110,110,3,用900个秘银铸币交换下衣。 | 选择辅助用制作技术。 | 我想购买发光的艾尔米提亚之大剑图案。 | 我想购买发光的艾尔米提亚之金属胸甲图案。 | 我想购买发光的艾尔米提亚之长袍腰带图案。
1183,HACTION_SELECT1_3_1,exact,17,17,17,1,选择料理。 | 继续听。 | 我想要交换上衣。 | 当然了。 | 是的。
1184,HACTION_SELECT1_3_1_1,exact,1,1,1,1,询问帕夫纳提供的情报。
1204,HACTION_SELECT1_3_2,exact,14,14,14,2,选择炼金术。 | 我想要交换下衣。 | 我拥有魔力枪。 | 我想交换下衣。 | 我有魔力枪。
1225,HACTION_SELECT1_3_3,exact,10,10,10,2,我想要交换鞋子。 | 我拥有魔力炮。 | 我想交换鞋子。 | 我有魔力炮。
1246,HACTION_SELECT1_3_4,exact,10,10,10,2,我想要交换护肩。 | 我拥有弦乐器。 | 我想交换护肩。 | 我有弦乐器。
5105,HACTION_SELECT1_3_5,exact,10,10,10,2,我想要交换手套。 | 我拥有启动钥匙。 | 我想交换手套。 | 我有启动钥匙。
1267,HACTION_SELECT1_4,exact,35,34,34,2,用600个秘银铸币交换护具。 | 我有龙帝之心。 | 我有特化龙帝之心。 | 我拥有锁链防具。 | 说想去除掉侦察队长坎土。
1268,HACTION_SELECT1_4_1,exact,9,9,9,2,询问锡兰泰拉回廊和帕休曼迪尔寺院的情况。 | 我有龙帝之尾。 | 我有特化龙帝之尾。 | 我想要交换上衣。 | 我想交换上衣。
1289,HACTION_SELECT1_4_2,exact,6,6,6,1,我想要交换下衣。 | 我想交换下衣。
1310,HACTION_SELECT1_4_3,exact,6,6,6,1,我想要交换鞋子。 | 我想交换鞋子。
1331,HACTION_SELECT1_4_4,exact,6,6,6,1,我想要交换护肩。 | 我想交换护肩。
5106,HACTION_SELECT1_4_5,exact,6,6,6,1,我想要交换手套。 | 我想交换手套。
1352,HACTION_SELECT2,exact,97,97,97,3,拿出中级古代圣像。 | 拿出中级古代印章。 | 拿出中级古代圣杯。 | 拿出中级古代王冠。 | 拿出10个中级古代圣像。
1353,HACTION_SELECT2_1,exact,897,885,885,9,转达艾尔米提亚的话。 | 碰了碰被缠住的守护者。 | 摇头。 | 询问原因。 | 转达塞昆迪拉的话。
1354,HACTION_SELECT2_1_1,exact,177,165,165,6,提亚马特龙帝怎么？ | 继续听。 | 询问哈纳尔卡德的位置。 | 说会记住。 | 说是代替贝尔丹过来帮他的。
1355,HACTION_SELECT2_1_1_1,exact,20,20,20,2,继续听。 | 点头。 | 遵从信念。 | 询问要寻找的物品。 | 询问最后是在什么地方看见的。
1360,HACTION_SELECT2_1_1_2,exact,7,5,5,3,遵从主神们的意愿。 | 遵从主神的意愿。 | 回答说是第一个。
1365,HACTION_SELECT2_1_1_3,exact,4,2,2,2,回答说是第二个。
1370,HACTION_SELECT2_1_1_4,exact,6,2,2,3,回答说是第三个。
1375,HACTION_SELECT2_1_2,exact,22,12,12,7,"需要我的生命？ | 询问做什么事。 | 替你办事。 | 是真理。 | ""需要我的生命？"""
1376,HACTION_SELECT2_1_2_1,exact,3,3,3,1,从准确的数字中体现的真理。 | 美丽的数字之类的就是真理。
1381,HACTION_SELECT2_1_2_2,exact,3,3,3,1,浩瀚宇宙的准则就是真理。 | 未知的宇宙的准则就是真理。
1396,HACTION_SELECT2_1_3,exact,14,6,6,5,"需要我的气息？ | ""需要我的气息？"" | 请给我鞋子。 | 不，请给我鞋子。 | “因为亚特雷亚的奥德的能量正在枯竭。”"
1417,HACTION_SELECT2_1_4,exact,4,2,2,2,因为欧比斯的怪物涌入了亚特雷亚。 | “因为欧比斯的怪物涌入了亚特雷亚。”
1438,HACTION_SELECT2_2,exact,43,38,38,7,说准备好了。 | 让他讲述鸢族的历史。 | 再考虑一下。 | 继续听。 | 询问可以获得埃利安露水的方法。
1439,HACTION_SELECT2_2_1,exact,9,9,9,1,继续听。 | 是爱。 | 询问是谁。 | 继续听故事。 | 说不知道打开箱子的方法。
1440,HACTION_SELECT2_2_1_1,exact,6,6,6,2,爱情应该是理性的。 | 继续听。 | 答应他的请求。 | 询问有没有什么好办法。
1445,HACTION_SELECT2_2_1_2,exact,3,3,3,1,爱情应该是感性的。
1460,HACTION_SELECT2_2_2,exact,3,3,3,1,是真相。
1461,HACTION_SELECT2_2_2_1,exact,3,3,3,1,真相是绝对的。
1466,HACTION_SELECT2_2_2_2,exact,3,3,3,1,真相是相对的。
1523,HACTION_SELECT2_3,exact,17,15,15,4,继续听。 | 询问可以获得奥格林特叶子的方法。 | 询问可以获得受诅咒的知识之书的方法。 | 询问可以获得荣誉守护者勋章的方法。 | 了解合作竞技场的规则。
1524,HACTION_SELECT2_3_1,exact,2,2,2,1,继续听故事。 | 恳求他，说是急需的东西。
1525,HACTION_SELECT2_3_1_1,exact,2,2,2,1,好像听说过这个传说。 | 点头。
1608,HACTION_SELECT2_4,exact,4,4,4,1,询问可以获得荣誉守护者勋章的方法。
1609,HACTION_SELECT2_4_1,exact,8,8,8,1,拿出报告书。 | 询问巨神兵的事情。 | 询问空中结界膜生成器的位置。 | 点头。 | 报告结果。
1610,HACTION_SELECT2_4_1_1,exact,1,1,1,1,让他讲讲详细的情况。
1693,HACTION_SELECT3,exact,93,89,89,6,摇头。 | 继续对话。 | 稍等片刻。 | 拿出上级古代圣像。 | 拿出上级古代印章。
1694,HACTION_SELECT3_1,exact,485,471,471,9,转达艾尔米提亚的话。 | 继续听。 | 碰了碰被缠住的守护者。 | 说可以帮助他。 | 抓住罗特亚斯的树枝。
1695,HACTION_SELECT3_1_1,exact,87,86,86,4,净化、筛选、安息？ | 继续听。 | 说非常吃惊。 | 询问是否接到了命令。 | 继续调查。
1696,HACTION_SELECT3_1_1_1,exact,11,11,11,3,询问在这里有没有找到什么。 | 我想回到奥德的流动当中去。 | 说愿意帮她。 | 继续听。 | 再等一会儿。
1701,HACTION_SELECT3_1_1_2,exact,6,2,2,3,“由泰尔拉斯指挥的暴风军团。”
1706,HACTION_SELECT3_1_1_3,exact,4,2,2,2,“由布雷亚斯指挥的银辉军团。” | “是由特拉乌普尼尔智慧的黑色火焰军团。”
1711,HACTION_SELECT3_1_1_4,exact,4,2,2,2,“内扎坎主神麾下的神庙。”
1716,HACTION_SELECT3_1_2,exact,5,3,3,4,要是我的话，我不会那么做的。 | 回答是普埃塔。 | 回答说是特米伦要塞。
1737,HACTION_SELECT3_1_3,exact,5,2,2,3,回答是贝尔特伦。 | 回答说是硫磺树要塞。
1758,HACTION_SELECT3_1_4,exact,5,2,2,3,回答是埃尔特内。 | 回答说是普利姆要塞。
1779,HACTION_SELECT3_2,exact,39,27,27,7,说看到他们在和龙族战斗。 | 试着摧毁。 | 我想来找回失去的记忆。 | 继续听。 | 询问还有没有别的话要说。
1780,HACTION_SELECT3_2_1,exact,5,5,5,1,询问关于永恒之塔裂缝和贤者行踪的事情。 | 将卡西亚斯的话转告给他。 | 转告马邦塔说的话。 | 转达卡西亚斯的话。
1781,HACTION_SELECT3_2_1_1,exact,3,3,3,1,让他看看自己的身体。 | 点头。
1864,HACTION_SELECT3_3,exact,8,4,4,3,试着触摸。 | “经过调查，没查出是谁干的。” | “在第一次天魔战争的时候。”
1865,HACTION_SELECT3_3_1,exact,4,4,4,1,询问关于永恒之塔裂缝和贤者行踪的事情。 | 将卡西亚斯的话转告给他。 | 转达卡西亚斯的话。
1866,HACTION_SELECT3_3_1_1,exact,2,2,2,1,告诉她死过之后变成了不死族。 | 让她回到奥德的流动中去。
1950,HACTION_SELECT3_4_1,exact,7,7,7,1,询问巨神兵的事情。 | 询问关于永恒之塔裂缝和贤者行踪的事情。 | 将卡西亚斯的话转告给他。 | 转达卡西亚斯的话。 | 请求在球中注入祝福的气息。
1951,HACTION_SELECT3_4_1_1,exact,3,3,3,1,询问进入那里的方法。 | 点头。
2034,HACTION_SELECT4,exact,104,100,100,8,"继续听。 | 稍等一会儿。 | 表示愿意帮忙。 | 操作回廊装置。 | ""拿出崇拜者的头巾和50,000基纳。"""
2035,HACTION_SELECT4_1,exact,273,268,268,6,收下奥德波动石。 | 询问究竟怎么做才能帮他。 | 报告结果。 | 拿出破烂不堪的羊皮纸。 | 点头。
2036,HACTION_SELECT4_1_1,exact,51,46,46,4,问他认不认识巴斯提尔派遣队长。 | 询问破坏方法。 | 继续听。 | 继续对话。 | 卡伦？
2037,HACTION_SELECT4_1_1_1,exact,16,14,14,5,提议一起逃出去。 | 询问是什么计划。 | 继续听。 | 布里特拉大人向着那里出发了。 | 点头。
2042,HACTION_SELECT4_1_1_2,exact,6,3,3,3,东张西望。 | 回答说是第一个。
2047,HACTION_SELECT4_1_1_3,exact,6,3,3,3,装作没听见。 | 回答说是第二个。
2052,HACTION_SELECT4_1_1_4,exact,6,2,2,3,回答说是第三个。
2057,HACTION_SELECT4_1_2,exact,9,5,5,3,"女王就被囚禁在那里。 | ""冷风太强了，眼睛凉？"" | 回答说是第一个。"
2078,HACTION_SELECT4_1_3,exact,8,5,5,3,"不停地打瞌睡，头还一点一点的。 | ""在风车下面等着？"" | 回答说是第二个。"
2099,HACTION_SELECT4_1_4,exact,6,2,2,3,回答说是第三个。
2120,HACTION_SELECT4_2,exact,15,12,12,4,"眼神的注视下，我的心狂跳不已。 | ""到外面去调查？"" | 如实告诉他，她不可能会回来了。 | 我喜欢地。 | 知道了。"
2121,HACTION_SELECT4_2_1,exact,8,4,4,3,点头。 | 请他再说一遍。 | 继续听。
2122,HACTION_SELECT4_2_1_1,exact,1,1,1,1,询问任务。
2142,HACTION_SELECT4_2_2,exact,2,2,2,1,"""如果出去就洗一下手？"""
2163,HACTION_SELECT4_2_3,exact,2,2,2,1,"""为了生病的人而祈祷？"""
2205,HACTION_SELECT4_3,exact,12,6,6,4,"火焰所包围着的漆黑地下，据说它就被埋在那里。 | ""你没力气，所以让我带你出去？"" | 回答只要打倒守护神将就行了。 | 请求帮助寻找头目的女儿。 | 回答说只要打倒守护神将就行了。"
2206,HACTION_SELECT4_3_1,exact,6,2,2,3,点头。 | 请他再说一遍。
2227,HACTION_SELECT4_3_2,exact,2,2,2,1,"""短暂停止的那件事不是梦？"""
2248,HACTION_SELECT4_3_3,exact,2,2,2,1,"""在外面睡觉时，羽毛枕头是最好的？"""
2290,HACTION_SELECT4_4,exact,2,2,2,1,"""外面的事情太累了，如果有需要再叫醒你？"""
2291,HACTION_SELECT4_4_1,exact,4,4,4,1,询问自己理解的内容是不是正确的。 | 请求在球中注入祝福的气息。 | 听取有关对抗天族的建议。
2375,HACTION_SELECT5,exact,15,10,10,6,再次仔细查看。 | 我会铭记于心的。 | 我拥有魔皮防具。 | 我拥有魔皮防具 | 把羽衣交给他。
2376,HACTION_SELECT5_1,exact,179,177,177,4,说可以去把钥匙拿回来。 | 浏览报告书。 | 报告结果。 | 点头。 | 表示目前还不清楚。
2377,HACTION_SELECT5_1_1,exact,38,38,38,1,浏览报告书。 | 继续听。 | 点头。 | 查看祭坛下端。 | 我突然对达马希温说的事有点好奇呢。
2378,HACTION_SELECT5_1_1_1,exact,9,9,9,1,浏览报告书。 | 说愿意帮助。 | 先前在这祭坛上的该不会是奥里萨吧？ | 询问计划。 | 说就交给魔族吧。
2383,HACTION_SELECT5_1_1_2,exact,1,1,1,1,说会跟他走。
2388,HACTION_SELECT5_1_1_3,exact,1,1,1,1,说不跟他走。
2461,HACTION_SELECT5_2,exact,17,15,15,6,浏览报告书。 | 先前在这祭坛上的该不会是艾莱休奇卡吧？ | 我觉得结尾重要。 | 回答说知道了。 | 知道了。
2462,HACTION_SELECT5_2_1,exact,2,2,2,1,让我再考虑一下。 | 回答自己变成德布里后又变了回来。
2463,HACTION_SELECT5_2_1_1,exact,1,1,1,1,拿出放在怀里的预言书。
2546,HACTION_SELECT5_3,exact,7,7,7,3,先前在这祭坛上的该不会是帕鲁夏吧？ | 我想要交换鞋子。 | 结束对话。 | 我想交换鞋子。
2547,HACTION_SELECT5_3_1,exact,2,2,2,1,询问守护者的存在目的。 | 询问守护者的信念。
2548,HACTION_SELECT5_3_1_1,exact,1,1,1,1,这样真的能找到答案吗？
2568,HACTION_SELECT5_3_2,exact,1,1,1,1,继续听。
2631,HACTION_SELECT5_4,exact,4,4,4,1,我想要交换护肩。 | 我想交换护肩。
2632,HACTION_SELECT5_4_1,exact,8,8,8,2,我想要交换手套。 | 请求在球中注入祝福的气息。 | 询问守护者的存在目的。 | 我想交换手套。 | 听取有关对抗天族的建议。
2633,HACTION_SELECT5_4_1_1,exact,1,1,1,1,这样真的能找到答案吗？
2653,HACTION_SELECT5_4_2,exact,1,1,1,1,继续听。
2716,HACTION_SELECT6,exact,11,8,8,5,暂时等待。 | 打开装有机密的箱子查看。 | 我会铭记于心的。 | 重新查看。
2717,HACTION_SELECT6_1,exact,127,125,125,4,什么时候才能修好呢？ | 交出马赫罗西的报告书。 | 点头。 | 转达迪亚娜的话。 | 让他打开锡兰泰拉回廊。
2718,HACTION_SELECT6_1_1,exact,41,41,41,2,询问什么是欧柏利斯克。 | 点头。 | 继续听。 | 壁画上的背景不同。 | 继续听他说。
2719,HACTION_SELECT6_1_1_1,exact,5,5,5,1,询问提亚马特在这里藏匿了什么。 | 继续听。 | 继续听下去。 | 说会跟雷帕尔走。 | 向他告别。
2720,HACTION_SELECT6_1_1_1_1,exact,1,1,1,1,回答说知道了。
2724,HACTION_SELECT6_1_1_2,exact,1,1,1,1,说不跟雷帕尔走。
2802,HACTION_SELECT6_2,exact,7,5,5,5,我喜欢夜晚。 | 点头。 | 我选择弓星之路。
2803,HACTION_SELECT6_2_1,exact,4,4,4,1,继续听。 | 说完成了任务。 | 让我再考虑一下。 | 询问破碎的石棺的事情。
2888,HACTION_SELECT6_3_1,exact,1,1,1,1,询问破碎的石棺的事情。
2973,HACTION_SELECT6_4_1,exact,3,3,3,1,请求在球中注入祝福的气息。 | 询问破碎的石棺的事情。 | 听取有关对抗天族的建议。
3058,HACTION_SELECT7_1,exact,89,83,83,4,拿出战舰钥匙。 | 点头。 | 报告结果。 | 转达迪亚娜的话。 | 拿出沉重的标本箱。
3059,HACTION_SELECT7_1_1,exact,16,16,16,1,询问欧柏利斯克是什么。 | 继续听。 | 欧柏利斯克是什么。 | 说想去看看。 | 退到镜子外面。
3060,HACTION_SELECT7_1_1_1,exact,3,3,3,1,继续听。 | 询问故事中的厄夏勒的样子。
3061,HACTION_SELECT7_1_1_1_1,exact,1,1,1,1,点头。
3143,HACTION_SELECT7_2,exact,13,7,7,4,点头。 | 我选择精灵星之路。 | 我要走职业之路。 | “我要成为守护星。” | 不给他钥匙。
3144,HACTION_SELECT7_2_1,exact,3,3,3,1,让我再考虑一下。 | “我再考虑一下。” | 询问破碎的石棺的事情。
3229,HACTION_SELECT7_3_1,exact,1,1,1,1,询问破碎的石棺的事情。
3314,HACTION_SELECT7_4_1,exact,1,1,1,1,询问破碎的石棺的事情。
3399,HACTION_SELECT8_1,exact,51,47,47,3,继续听。 | 转达从罗特亚斯那里听到的话。 | 拿出德拉纳标本和鹅膏菌汁。 | 拿出标本箱，并转达苏尔拉的话。 | 报告结果。
3400,HACTION_SELECT8_1_1,exact,5,5,5,1,敷衍点头。 | 让我再考虑一下。 | 等待配制解毒药。 | “我再考虑一下。
3484,HACTION_SELECT8_2,exact,6,2,2,3,我选择护法星之路。 | “我要成为弓星。” | 我要成为弓星。”
3485,HACTION_SELECT8_2_1,exact,2,2,2,1,让我再考虑一下。 | “我再考虑一下。”
3570,HACTION_SELECT8_3_1,exact,2,1,1,2,我要成为枪炮星。 | 我想选择枪炮星之路。
3591,HACTION_SELECT8_3_2,exact,2,1,1,2,我要成为机甲星。 | 我想选择机甲星之路。
3612,HACTION_SELECT8_3_3,exact,2,1,1,2,我再考虑一下。
3739,HACTION_SELECT9,exact,2,2,2,1,暂时等一等。
3740,HACTION_SELECT9_1,exact,53,49,49,3,问他是否要紧。 | 转达从罗特亚斯那里听到的话。 | 拿出标本箱，转达苏尔拉的话。 | 摇头。 | 继续对话。
3741,HACTION_SELECT9_1_1,exact,13,13,13,1,最起码能够阻止日后的牺牲。 | 是什么。 | 再说一遍。 | 继续听。 | 那今后该怎么办呢？
3742,HACTION_SELECT9_1_1_1,exact,2,2,2,1,梦境的内容是什么。
3743,HACTION_SELECT9_1_1_1_1,exact,2,2,2,1,继续听下去。
3825,HACTION_SELECT9_2,exact,6,2,2,3,我想选择机甲星之路。 | 我选择机甲星之路。 | “我要成为精灵星。” | “我要做精灵星。”
3826,HACTION_SELECT9_2_1,exact,2,2,2,1,让我再考虑一下。 | “我再考虑一下。”
3911,HACTION_SELECT9_3_1,exact,2,1,1,2,我要成为吟游星。 | 我想选择吟游星之路。
3932,HACTION_SELECT9_3_2,exact,1,1,1,1,我再考虑一下。
4763,HACTION_SELECT_NONE_1,exact,81,80,80,2,继续听。 | 询问任务是什么。 | 接受。 | 询问有没有其他办法。 | 询问怎么帮助他们。
4764,HACTION_SELECT_NONE_1_1,exact,4,4,4,1,算是吧。 | 继续听。 | 听取文件内容。 | 讲述阿尔特盖德结界塔的马车事件。
4765,HACTION_SELECT_NONE_1_1_1,exact,1,1,1,1,使用后面的机器就能过去了吗？
4848,HACTION_SELECT_NONE_2,exact,1,1,1,1,说没兴趣。
1009,HACTION_SELECT_QUEST_REWARD,exact,6930,6445,6455,30,点头。 | 说还不知道。 | 稍作等待。 | 向他报告在纳拉克卡里发生的事。 | 继续听。
,HACTION_SELECT_QUEST_REWARD1,missing,6,3,3,2,是什么样的启示呢？ | 是什么样的能力呢？
,HACTION_SELECT_QUEST_REWARD2,missing,6,3,3,2,是什么样的启示呢？ | 是什么样的能力呢？
,HACTION_SELECT_QUEST_REWARD3,missing,6,3,3,2,是什么样的启示呢？ | 继续听。 | 是什么样的能力呢？
,HACTION_SELECT_QUEST_REWARD4,missing,6,3,3,2,是什么样的启示呢？ | 继续听。 | 是什么样的能力呢？
10000,HACTION_SETPRO1,exact,1494,1455,1455,36,结束对话。 | 说别担心。 | 说准备好了。 | 接过保密誓约。 | 说知道了。
10009,HACTION_SETPRO10,exact,56,56,56,15,登上战舰。 | 移动到卡斯帕森林。 | 结束对话。 | 说知道了。 | 结束查看。
10010,HACTION_SETPRO11,exact,28,26,26,16,结束对话。 | 重新领取服装。 | 把折断的剑收起来。 | 操作大型次元移动装置。 | 交钱拿到药水。
10011,HACTION_SETPRO12,exact,24,20,20,14,结束对话。 | 确认完毕。 | 前往马皮尔那里。 | 移动到永恒之苦痛地狱。 | 前往永恒之苦痛地狱。
10012,HACTION_SETPRO13,exact,10,10,10,5,把锯齿形状的剑插在石像上。 | 是的，我想成为枪炮星。 | 结束对话。 | “是，我要成为护法星。”
10013,HACTION_SETPRO14,exact,9,9,9,5,把研究日志放进箱子。 | 结束对话。 | 点头。 | 是的，想成为吟游星。 | “是，我要成为治愈星。”
10014,HACTION_SETPRO15,exact,2,2,2,2,是的，我想成为机甲星。 | 是，我要成为枪炮星。
10015,HACTION_SETPRO16,exact,1,1,1,1,是，我要成为吟游星。
10016,HACTION_SETPRO17,exact,1,1,1,1,是的，我要成为机甲星。
10001,HACTION_SETPRO2,exact,830,805,805,30,结束对话。 | 向守护者默哀后离开。 | 搭乘尤洛斯号。 | 说明白了。 | 回答说知道了。
10019,HACTION_SETPRO20,exact,24,24,24,7,是的，我想购买发光的艾尔米提亚之大剑图案。 | 是的，我想购买发光的艾尔米提亚之金属胸甲图案。 | 是的，我想购买发光的艾尔米提亚之长袍腰带图案。 | 是的，我想购买发光的艾尔米提亚之项链图案。 | 是的，我想购买发光的艾尔米提亚之法书图案。
10020,HACTION_SETPRO21,exact,3,3,3,2,拿出第二种料理。 | 说肚子饿了。
10021,HACTION_SETPRO22,exact,1,1,1,1,说肚子疼。
10022,HACTION_SETPRO23,exact,1,1,1,1,说“你这个笨蛋！”
10002,HACTION_SETPRO3,exact,561,528,528,26,结束对话。 | 放弃并后退。 | 替换奥德波动石。 | 停止查看。 | 登上战舰。
10029,HACTION_SETPRO30,exact,4,4,4,2,获取第三种图案。 | 是的，请给我鞋子。 | 决定为鞋。
10030,HACTION_SETPRO31,exact,2,2,2,1,拿出第三种料理。
10003,HACTION_SETPRO4,exact,258,254,254,21,结束对话。 | 移动到达弥努森林。 | 放进标本箱。 | 抓住罗特亚斯的树枝。 | 装入标本箱。
10039,HACTION_SETPRO40,exact,2,2,2,1,获取第四种图案。
10040,HACTION_SETPRO41,exact,2,2,2,1,拿出第四种料理。
10004,HACTION_SETPRO5,exact,176,175,175,15,结束对话。 | 带上马赫罗西的报告书。 | 抓住罗特亚斯的树枝。 | 放进标本箱。 | 装入标本箱。
10005,HACTION_SETPRO6,exact,140,130,130,17,结束对话。 | 移动到扎马努克旅馆。 | 放进标本箱。 | 装入标本箱。 | 移动到上层。
10006,HACTION_SETPRO7,exact,115,92,92,14,结束对话。 | 移动到名人的殿堂。 | 移动到凯西内尔主神殿。 | 移动到索泰利亚圣地村。 | 把研究日志放入箱子。
10007,HACTION_SETPRO8,exact,50,48,48,8,移动到艾易隆沙漠。 | 稍等一下。 | 移动到泰奥勃莫斯城寨。 | 结束对话。 | 用奥德波动石替换球体。
10008,HACTION_SETPRO9,exact,37,37,37,6,移动到帕塞尔塔村。 | 移动到英吉斯温前哨基地。 | 移动到索泰利亚圣地村。 | 移动到英吉斯温锡兰泰拉回廊入口。 | 拿出封印的书信。
20003,HACTION_SETPRO_NEXT,exact,24,2,2,15,结束对话。 | 대화를 마친다.
10255,HACTION_SET_SUCCEED,exact,348,342,342,44,结束对话。 | 登上战舰。 | 点头。 | 我会记住的。 | 说知道了。
