html_page_name,page_id,page_constant,page_mapping,action_id,action_constant,action_mapping,occurrences,distinct_quests,button_text_samples_zh
SELECT5,2375,HTML_PAGE_SELECT5,exact,2461,HACTION_SELECT5_2,exact,3,3,我觉得结尾重要。
SELECT5_1,2376,HTML_PAGE_SELECT5_1,exact,,HACTION_SELECT_QUEST_REWARD1,missing,3,3,是什么样的启示呢？ | 是什么样的能力呢？
SELECT5_2,2461,HTML_PAGE_SELECT5_2,exact,,HACTION_SELECT_QUEST_REWARD2,missing,3,3,是什么样的启示呢？ | 是什么样的能力呢？
SELECT6,2716,HTML_PAGE_SELECT6,exact,2717,HACTION_SELECT6_1,exact,3,3,我喜欢白天。
SELECT6,2716,HTML_PAGE_SELECT6,exact,2802,HACTION_SELECT6_2,exact,3,3,我喜欢夜晚。
SELECT6_1,2717,HTML_PAGE_SELECT6_1,exact,,HACTION_SELECT_QUEST_REWARD3,missing,3,3,继续听。 | 是什么样的能力呢？
SELECT6_2,2802,HTML_PAGE_SELECT6_2,exact,,HACTION_SELECT_QUEST_REWARD4,missing,3,3,继续听。 | 是什么样的能力呢？
ask_quest_accept,4,HTML_PAGE_SHOW_ASK_QUEST_ACCEPT_WINDOW,exact,1002,HACTION_QUEST_ACCEPT_1,exact,3540,3528,接受。 | 接受 | 折起传单。 | 帮着寻找。 | 帮她找。
ask_quest_accept,4,HTML_PAGE_SHOW_ASK_QUEST_ACCEPT_WINDOW,exact,1003,HACTION_QUEST_REFUSE_1,exact,3524,3514,拒绝。 | 拒绝 | 决绝 | 答应下次帮忙。 | 走开。
ask_quest_accept,4,HTML_PAGE_SHOW_ASK_QUEST_ACCEPT_WINDOW,exact,1008,HACTION_FINISH_DIALOG,exact,691,691,停止查看。 | 把书放进箱子。 | 决定和他谈谈。 | 执行委托。 | 执行请求。
ask_quest_accept,4,HTML_PAGE_SHOW_ASK_QUEST_ACCEPT_WINDOW,exact,20000,HACTION_QUEST_ACCEPT_SIMPLE,exact,27,27,接受。
ask_quest_accept,4,HTML_PAGE_SHOW_ASK_QUEST_ACCEPT_WINDOW,exact,20001,HACTION_QUEST_REFUSE_SIMPLE,exact,27,27,拒绝。
check_user_item_fail,10001,HTML_PAGE_CHECK_USER_ITEM_FAIL,exact,1008,HACTION_FINISH_DIALOG,exact,638,638,结束对话。 | 停止查看。 | 结束观察。 | 结束对话 | 远离了抽抽自动贩卖机。
check_user_item_ok,10000,HTML_PAGE_CHECK_USER_ITEM_OK,exact,10001,HACTION_SETPRO2,exact,10,10,结束对话。
check_user_item_ok,10000,HTML_PAGE_CHECK_USER_ITEM_OK,exact,10002,HACTION_SETPRO3,exact,6,6,回答说去察看一下。 | 结束对话。 | 调查龟裂根源。
check_user_item_ok,10000,HTML_PAGE_CHECK_USER_ITEM_OK,exact,10003,HACTION_SETPRO4,exact,2,2,收下装满的伊德凝胶箱子。 | 收下满满的伊德凝胶箱子。
check_user_item_ok,10000,HTML_PAGE_CHECK_USER_ITEM_OK,exact,1008,HACTION_FINISH_DIALOG,exact,229,229,结束对话。 | 稍等一下。 | 递过证物。 | 点头。 | 结束对话
check_user_item_ok,10000,HTML_PAGE_CHECK_USER_ITEM_OK,exact,1009,HACTION_SELECT_QUEST_REWARD,exact,290,290,继续听。 | 点头。 | 询问其有没有忘记什么事。 | 要求适当的回报。 | 询问其是否满足。
check_user_item_ok,10000,HTML_PAGE_CHECK_USER_ITEM_OK,exact,10255,HACTION_SET_SUCCEED,exact,6,6,点头。 | 继续对话。 | 结束对话。
check_user_item_ok,10000,HTML_PAGE_CHECK_USER_ITEM_OK,exact,1352,HACTION_SELECT2,exact,7,7,稍等一会儿。 | 继续听。 | 询问她是否知道这个名字。 | 结束对话。 | 察看周围。
check_user_item_ok,10000,HTML_PAGE_CHECK_USER_ITEM_OK,exact,1353,HACTION_SELECT2_1,exact,2,2,继续听。 | 人参江米条比较好。
check_user_item_ok,10000,HTML_PAGE_CHECK_USER_ITEM_OK,exact,1354,HACTION_SELECT2_1_1,exact,2,2,说会记住。 | 说知道了。
check_user_item_ok,10000,HTML_PAGE_CHECK_USER_ITEM_OK,exact,1438,HACTION_SELECT2_2,exact,1,1,参茶比较好。
check_user_item_ok,10000,HTML_PAGE_CHECK_USER_ITEM_OK,exact,1693,HACTION_SELECT3,exact,25,25,摇头。 | 继续对话。 | 稍等片刻。 | 继续听。 | 询问方法。
check_user_item_ok,10000,HTML_PAGE_CHECK_USER_ITEM_OK,exact,1694,HACTION_SELECT3_1,exact,3,3,说愿意听。 | 说尽管说。 | 继续听。
check_user_item_ok,10000,HTML_PAGE_CHECK_USER_ITEM_OK,exact,2034,HACTION_SELECT4,exact,12,12,继续听。 | 稍等一会儿。 | 表示愿意帮忙。 | 操作回廊装置。 | 点头。
check_user_item_ok,10000,HTML_PAGE_CHECK_USER_ITEM_OK,exact,2716,HACTION_SELECT6,exact,2,2,暂时等待。
check_user_item_ok,10000,HTML_PAGE_CHECK_USER_ITEM_OK,exact,3739,HACTION_SELECT9,exact,2,2,暂时等一等。
check_user_item_ok,10000,HTML_PAGE_CHECK_USER_ITEM_OK,exact,7523,HACTION_SELECT14,exact,2,2,说在回收塔之碎片时遇到了魔族的事情。 | 说在回收塔之碎片时遇到了天族的事情。
no_right,27,HTML_PAGE_NO_RIGHT,exact,1008,HACTION_FINISH_DIALOG,exact,7,7,结束对话。 | 结束对话
quest_accept_1,1003,HTML_PAGE_QUEST_ACCEPT_1,exact,10000,HACTION_SETPRO1,exact,8,8,好，马上出发。 | 准备好了。 | 结束对话。 | “好。” | “准备好了！”
quest_accept_1,1003,HTML_PAGE_QUEST_ACCEPT_1,exact,10009,HACTION_SETPRO10,exact,1,1,好像是塔鲁。
quest_accept_1,1003,HTML_PAGE_QUEST_ACCEPT_1,exact,10019,HACTION_SETPRO20,exact,1,1,好像是雪人。
quest_accept_1,1003,HTML_PAGE_QUEST_ACCEPT_1,exact,1008,HACTION_FINISH_DIALOG,exact,3357,3347,结束对话。 | 结束对话 | 稍等一下。 | 接受对话。 | 说知道了。
quest_accept_1,1003,HTML_PAGE_QUEST_ACCEPT_1,exact,1009,HACTION_SELECT_QUEST_REWARD,exact,102,102,闭上眼睛集中精神。 | 结束对话。 | 点头。 | 确认管家给的东西。 | 继续听。
quest_accept_1,1003,HTML_PAGE_QUEST_ACCEPT_1,exact,1011,HACTION_SELECT1,exact,10,10,继续听。 | 点头。
quest_accept_1,1003,HTML_PAGE_QUEST_ACCEPT_1,exact,1012,HACTION_SELECT1_1,exact,13,13,说想去除掉突击队长坎塔克。 | 说会去问君君宾。 | “请跟我走。” | 说会交给莎拉琳琳。 | 我要去捕捉地之精灵。
quest_accept_1,1003,HTML_PAGE_QUEST_ACCEPT_1,exact,1013,HACTION_SELECT1_1_1,exact,2,2,还没有准备好。 | 说还没准备好。
quest_accept_1,1003,HTML_PAGE_QUEST_ACCEPT_1,exact,1097,HACTION_SELECT1_2,exact,12,12,说想去除掉法师长帕乌托。 | 说会去问米诺隆。 | 说会交给佩佩龙。 | 我要去捕捉水之精灵。 | 说会施舍5000基纳。
quest_accept_1,1003,HTML_PAGE_QUEST_ACCEPT_1,exact,1182,HACTION_SELECT1_3,exact,7,7,"说想去除掉大治疗师邱巴克。 | 说会施舍50000基纳。 | 告诉他有100杯梅拉果汁。 | ""说会给他10,000基纳。"" | 说会给他10000基纳。"
quest_accept_1,1003,HTML_PAGE_QUEST_ACCEPT_1,exact,1267,HACTION_SELECT1_4,exact,1,1,说想去除掉侦察队长坎土。
quest_accept_1,1003,HTML_PAGE_QUEST_ACCEPT_1,exact,1352,HACTION_SELECT2,exact,3,3,结束对话。
quest_accept_1,1003,HTML_PAGE_QUEST_ACCEPT_1,exact,39,HACTION_CHECK_USER_HAS_QUEST_ITEM,exact,192,192,拿出魔石。 | 交出米拉詹特圣骑士交换证书。 | 打开陈列柜。 | 交出潘利尔的犬牙交换证书。 | 拿出神圣证物。
quest_complete,1008,HTML_PAGE_QUEST_COMPLETE,exact,1008,HACTION_FINISH_DIALOG,exact,10,10,结束对话。
quest_failed_1,1009,HTML_PAGE_QUEST_FAILED_1,exact,1008,HACTION_FINISH_DIALOG,exact,10,10,结束对话。
quest_refuse_1,1004,HTML_PAGE_QUEST_REFUSE_1,exact,1008,HACTION_FINISH_DIALOG,exact,3675,3665,结束对话。 | 停止查看。 | (放着一口巨大的锅。) | 结束对话 | 远离了抽抽自动贩卖机。
select1,1011,HTML_PAGE_SELECT1,exact,10000,HACTION_SETPRO1,exact,193,193,结束对话。 | 说别担心。 | 说知道了。 | 说马上去找伊利乌姆。 | 必须从细根佩里亚那里搜集一些水给他喝。
select1,1011,HTML_PAGE_SELECT1,exact,10001,HACTION_SETPRO2,exact,10,10,拿出成长的种子和纳巴鲁的金苹果。 | 交出成长的种子和纳巴鲁的金苹果。 | 递出成长的种子和纳巴鲁的巨大金苹果。 | 拿出火鸟的红黑色羽毛。 | 回答是雷帕尔革命团。
select1,1011,HTML_PAGE_SELECT1,exact,10002,HACTION_SETPRO3,exact,1,1,拿出蛇妖的白色鬃毛。
select1,1011,HTML_PAGE_SELECT1,exact,10009,HACTION_SETPRO10,exact,1,1,说可以帮他。
select1,1011,HTML_PAGE_SELECT1,exact,10019,HACTION_SETPRO20,exact,1,1,好像不是正当的要求，拒绝。
select1,1011,HTML_PAGE_SELECT1,exact,1002,HACTION_QUEST_ACCEPT_1,exact,122,122,接受。 | 点头。 | 摇头。 | 送鲜花。 | 说很好吃。
select1,1011,HTML_PAGE_SELECT1,exact,1003,HACTION_QUEST_REFUSE_1,exact,121,121,拒绝 | 摇头。 | 拒绝。 | 询问原因。 | 摇头
select1,1011,HTML_PAGE_SELECT1,exact,1007,HACTION_ASK_QUEST_ACCEPT,exact,2196,2196,点头。 | 说出名字。 | 询问发生了什么事。 | 询问是什么事情。 | 询问是什么问题。
select1,1011,HTML_PAGE_SELECT1,exact,1008,HACTION_FINISH_DIALOG,exact,22,22,结束对话。 | 开始投石炮破坏作战。 | 去见见泰尼希安。 | 去见见雷斯科。 | 去见见希格蒙特。
select1,1011,HTML_PAGE_SELECT1,exact,1009,HACTION_SELECT_QUEST_REWARD,exact,16,16,询问任务。 | 说愿意执行。 | 请问是什么任务。 | 询问新技能。 | 答应试一试。
select1,1011,HTML_PAGE_SELECT1,exact,1011,HACTION_SELECT1,exact,86,86,拿出下级古代圣像。 | 拿出下级古代印章。 | 拿出下级古代圣杯。 | 拿出下级古代王冠。 | 拿出10个下级古代圣像。
select1,1011,HTML_PAGE_SELECT1,exact,1012,HACTION_SELECT1_1,exact,1550,1550,询问是什么事情。 | 难道不是为了消灭提亚马特吗？ | 继续听。 | 询问英吉斯温前哨基地的情况。 | 摇头。
select1,1011,HTML_PAGE_SELECT1,exact,10255,HACTION_SET_SUCCEED,exact,36,36,拿出须希尔的腐蚀液。 | 结束对话。 | 点头。 | 表示知道了。 | 报告强化结果。
select1,1011,HTML_PAGE_SELECT1,exact,1097,HACTION_SELECT1_2,exact,99,99,用1200个秘银铸币交换上衣。 | 选择防御用制作技术。 | 带来了7个神圣证物。 | 带来了14个神圣证物。 | 带来了28个神圣证物。
select1,1011,HTML_PAGE_SELECT1,exact,1182,HACTION_SELECT1_3,exact,98,98,用900个秘银铸币交换下衣。 | 选择辅助用制作技术。 | 带来了15个神圣证物。 | 带来了30个神圣证物。 | 带来了60个神圣证物。
select1,1011,HTML_PAGE_SELECT1,exact,1267,HACTION_SELECT1_4,exact,34,34,用600个秘银铸币交换护具。 | 我有龙帝之心。 | 我有特化龙帝之心。 | 我拥有锁链防具。 | 说想去除掉侦察队长坎土。
select1,1011,HTML_PAGE_SELECT1,exact,1268,HACTION_SELECT1_4_1,exact,2,2,我有龙帝之尾。 | 我有特化龙帝之尾。
select1,1011,HTML_PAGE_SELECT1,exact,1352,HACTION_SELECT2,exact,87,87,拿出中级古代圣像。 | 拿出中级古代印章。 | 拿出中级古代圣杯。 | 拿出中级古代王冠。 | 拿出10个中级古代圣像。
select1,1011,HTML_PAGE_SELECT1,exact,1353,HACTION_SELECT2_1,exact,1,1,继续听故事。
select1,1011,HTML_PAGE_SELECT1,exact,1693,HACTION_SELECT3,exact,60,60,拿出上级古代圣像。 | 拿出上级古代印章。 | 拿出上级古代圣杯。 | 拿出上级古代王冠。 | 拿出10个上级古代圣像。
select1,1011,HTML_PAGE_SELECT1,exact,20000,HACTION_QUEST_ACCEPT_SIMPLE,exact,2060,2060,接受。 | 说知道了。 | 明白了。 | 说愿意去帮他。 | 听取祝贺的话语。
select1,1011,HTML_PAGE_SELECT1,exact,20001,HACTION_QUEST_REFUSE_SIMPLE,exact,2060,2060,拒绝。 | 不要。 | 对不起。 | 说很忙。 | 接受。
select1,1011,HTML_PAGE_SELECT1,exact,20002,HACTION_CHECK_USER_HAS_QUEST_ITEM_SIMPLE,exact,58,58,拿出破碎的黑金。 | 拿出奥德之珠结晶。 | 拿出关着精灵的笼子。 | 拿出变身材料。 | 拿出卷轴的后半部分。
select1,1011,HTML_PAGE_SELECT1,exact,2034,HACTION_SELECT4,exact,42,42,拿出最上级古代圣像。 | 拿出最上级古代印章。 | 拿出最上级古代圣杯。 | 拿出最上级古代王冠。 | 拿出10个最上级古代圣像。
select1,1011,HTML_PAGE_SELECT1,exact,2375,HACTION_SELECT5,exact,4,4,我拥有魔皮防具。 | 我拥有魔皮防具 | 我有魔法皮革防具。
select1,1011,HTML_PAGE_SELECT1,exact,39,HACTION_CHECK_USER_HAS_QUEST_ITEM,exact,352,352,拿出佩里亚叶子。 | 拿出触手。 | 拿出尾鳍。 | 拿出奥德之珠碎片。 | 交出知识实体核碎片。
select1,1011,HTML_PAGE_SELECT1,exact,4763,HACTION_SELECT_NONE_1,exact,1,1,详细说明失事船的样子。
select10,4080,HTML_PAGE_SELECT10,exact,10003,HACTION_SETPRO4,exact,1,1,准备好了就说一声。
select10,4080,HTML_PAGE_SELECT10,exact,10009,HACTION_SETPRO10,exact,6,6,使用生命的气息发动实体。 | 点头。 | 移动到卡斯帕外部。 | 结束对话。 | 使用生命的泪水发动实体。
select10,4080,HTML_PAGE_SELECT10,exact,1008,HACTION_FINISH_DIALOG,exact,50,50,结束对话。
select10,4080,HTML_PAGE_SELECT10,exact,1009,HACTION_SELECT_QUEST_REWARD,exact,4,4,报告结果。 | 讲述期间发生的事情。 | 拿出钱袋，说明情况。
select10,4080,HTML_PAGE_SELECT10,exact,1012,HACTION_SELECT1_1,exact,12,12,重新领取名人考试所需的物品。 | 重新购买名人考试需要的物品。 | 重新购买图案。
select10,4080,HTML_PAGE_SELECT10,exact,10255,HACTION_SET_SUCCEED,exact,2,2,结束对话 | 拿出Doc_Quest_28700a，并报告。
select10,4080,HTML_PAGE_SELECT10,exact,4081,HACTION_SELECT10_1,exact,38,38,转达从罗特亚斯那里听到的话。 | 报告实验结果。 | 报告结果。 | 说是来把鸢族俘虏押走的。 | 询问有关战斗的痕迹的情况。
select10,4080,HTML_PAGE_SELECT10,exact,4166,HACTION_SELECT10_2,exact,1,1,“我要成为护法星。”
select10_1,4081,HTML_PAGE_SELECT10_1,exact,10009,HACTION_SETPRO10,exact,14,14,移动到卡斯帕森林。 | 结束对话。 | 说知道了。 | 接受慧眼符咒。 | 移动到伏魔殿。
select10_1,4081,HTML_PAGE_SELECT10_1,exact,10010,HACTION_SETPRO11,exact,2,2,操作大型次元移动装置。
select10_1,4081,HTML_PAGE_SELECT10_1,exact,10013,HACTION_SETPRO14,exact,2,2,是的，想成为吟游星。 | “是，我要成为治愈星。”
select10_1,4081,HTML_PAGE_SELECT10_1,exact,1008,HACTION_FINISH_DIALOG,exact,5,5,“结束对话” | 结束对话。
select10_1,4081,HTML_PAGE_SELECT10_1,exact,1009,HACTION_SELECT_QUEST_REWARD,exact,5,5,点头 | 点头。 | 报告结果。
select10_1,4081,HTML_PAGE_SELECT10_1,exact,1012,HACTION_SELECT1_1,exact,2,2,请再给我一份第一种料理图案。
select10_1,4081,HTML_PAGE_SELECT10_1,exact,10255,HACTION_SET_SUCCEED,exact,4,4,结束对话。
select10_1,4081,HTML_PAGE_SELECT10_1,exact,4082,HACTION_SELECT10_1_1,exact,8,8,敷衍点头。 | 摇晃德扎波波的身体。 | 询问需要做什么事。 | “被隐藏的真相？” | 摇晃卫扎波波的身体。
select10_1,4081,HTML_PAGE_SELECT10_1,exact,4166,HACTION_SELECT10_2,exact,3,3,继续查看记录。 | 让我再考虑一下。
select10_1_1,4082,HTML_PAGE_SELECT10_1_1,exact,10009,HACTION_SETPRO10,exact,4,4,结束对话。
select10_1_1,4082,HTML_PAGE_SELECT10_1_1,exact,10010,HACTION_SETPRO11,exact,2,2,把折断的剑收起来。
select10_1_1,4082,HTML_PAGE_SELECT10_1_1,exact,10011,HACTION_SETPRO12,exact,2,2,确认完毕。
select10_1_1,4082,HTML_PAGE_SELECT10_1_1,exact,4081,HACTION_SELECT10_1,exact,1,1,“我要成为治愈星。”
select10_1_1,4082,HTML_PAGE_SELECT10_1_1,exact,4083,HACTION_SELECT10_1_1_1,exact,3,3,点头。 | “是的，我不畏惧。” | 没什么可畏惧的。
select10_1_1,4082,HTML_PAGE_SELECT10_1_1,exact,4166,HACTION_SELECT10_2,exact,1,1,“我要成为护法星。”
select10_1_1_1,4083,HTML_PAGE_SELECT10_1_1_1,exact,10003,HACTION_SETPRO4,exact,1,1,结束对话。
select10_1_1_1,4083,HTML_PAGE_SELECT10_1_1_1,exact,1009,HACTION_SELECT_QUEST_REWARD,exact,4,4,报告结果。 | 继续听。 | 在莫尔海姆组织了希佩里安的搬运。
select10_2,4166,HTML_PAGE_SELECT10_2,exact,10009,HACTION_SETPRO10,exact,2,2,结束查看。
select10_2,4166,HTML_PAGE_SELECT10_2,exact,10012,HACTION_SETPRO13,exact,1,1,“是，我要成为护法星。”
select10_2,4166,HTML_PAGE_SELECT10_2,exact,1008,HACTION_FINISH_DIALOG,exact,16,16,结束对话。
select10_2,4166,HTML_PAGE_SELECT10_2,exact,1009,HACTION_SELECT_QUEST_REWARD,exact,1,1,拿出日志。
select10_2,4166,HTML_PAGE_SELECT10_2,exact,1353,HACTION_SELECT2_1,exact,2,2,请再给我一份第二种料理图案。
select10_2,4166,HTML_PAGE_SELECT10_2,exact,39,HACTION_CHECK_USER_HAS_QUEST_ITEM,exact,1,1,拿出从龙族身上发现的东西。
select10_2,4166,HTML_PAGE_SELECT10_2,exact,4081,HACTION_SELECT10_1,exact,1,1,我选择了吟游星之路。
select10_2,4166,HTML_PAGE_SELECT10_2,exact,4167,HACTION_SELECT10_2_1,exact,1,1,“我再考虑一下。”
select10_2_1,4167,HTML_PAGE_SELECT10_2_1,exact,4081,HACTION_SELECT10_1,exact,1,1,“是，我要成为治愈星。”
select10_2_1,4167,HTML_PAGE_SELECT10_2_1,exact,4166,HACTION_SELECT10_2,exact,1,1,“我要成为护法星。”
select10_3,4251,HTML_PAGE_SELECT10_3,exact,1008,HACTION_FINISH_DIALOG,exact,14,14,结束对话。
select10_3,4251,HTML_PAGE_SELECT10_3,exact,1694,HACTION_SELECT3_1,exact,2,2,请再给我一份第三种料理图案。
select10_4,4336,HTML_PAGE_SELECT10_4,exact,1694,HACTION_SELECT3_1,exact,1,1,抓住罗特亚斯的树枝。
select10_4,4336,HTML_PAGE_SELECT10_4,exact,2035,HACTION_SELECT4_1,exact,2,2,请再给我一份第四种料理图案。
select10_4_4,4400,HTML_PAGE_SELECT10_4_4,exact,1008,HACTION_FINISH_DIALOG,exact,14,14,结束对话。
select11,6500,HTML_PAGE_SELECT11,exact,1008,HACTION_FINISH_DIALOG,exact,1,1,结束对话。
select11,6500,HTML_PAGE_SELECT11,exact,10255,HACTION_SET_SUCCEED,exact,2,2,点头。
select11,6500,HTML_PAGE_SELECT11,exact,39,HACTION_CHECK_USER_HAS_QUEST_ITEM,exact,2,2,拿出库尔玛武器碎片。 | 交出库尔玛武器碎片。
select11,6500,HTML_PAGE_SELECT11,exact,6501,HACTION_SELECT11_1,exact,4,4,报告魔族入侵地下奥德矿山的事情。 | 继续听。 | 报告天族入侵地下奥德矿山的事情。
select11_1,6501,HTML_PAGE_SELECT11_1,exact,10010,HACTION_SETPRO11,exact,2,2,结束对话。
select11_1,6501,HTML_PAGE_SELECT11_1,exact,6502,HACTION_SELECT11_1_1,exact,2,2,给她看陷入沉睡的贤者，报告之前的事情。 | 给他看陷入沉睡的贤者，报告之前的事情。
select11_1_1,6502,HTML_PAGE_SELECT11_1_1,exact,10255,HACTION_SET_SUCCEED,exact,2,2,结束对话。
select12,6841,HTML_PAGE_SELECT12,exact,10001,HACTION_SETPRO2,exact,2,2,回答说前往那个地方吧。
select12,6841,HTML_PAGE_SELECT12,exact,10011,HACTION_SETPRO12,exact,2,2,移动到永恒之苦痛地狱。 | 前往永恒之苦痛地狱。
select12,6841,HTML_PAGE_SELECT12,exact,6842,HACTION_SELECT12_1,exact,6,6,谁是亚特雷亚的守护者？ | 因为碎片的影响出现了间歇泉 | 说我也不知道为什么。
select12_1,6842,HTML_PAGE_SELECT12_1,exact,10011,HACTION_SETPRO12,exact,2,2,结束对话。
select12_1,6842,HTML_PAGE_SELECT12_1,exact,10255,HACTION_SET_SUCCEED,exact,2,2,结束对话。
select12_1,6842,HTML_PAGE_SELECT12_1,exact,6843,HACTION_SELECT12_1_1,exact,2,2,敷衍点头。
select12_1_1,6843,HTML_PAGE_SELECT12_1_1,exact,10255,HACTION_SET_SUCCEED,exact,2,2,结束对话。
select13,7182,HTML_PAGE_SELECT13,exact,39,HACTION_CHECK_USER_HAS_QUEST_ITEM,exact,2,2,交出密封的秘密文书。 | 交出经过加密的秘密文书。
select14,7523,HTML_PAGE_SELECT14,exact,10013,HACTION_SETPRO14,exact,2,2,点头。
select14,7523,HTML_PAGE_SELECT14,exact,7524,HACTION_SELECT14_1,exact,2,2,稍等片刻。
select14_1,7524,HTML_PAGE_SELECT14_1,exact,10013,HACTION_SETPRO14,exact,2,2,结束对话。
select1_1,1012,HTML_PAGE_SELECT1_1,exact,10000,HACTION_SETPRO1,exact,368,368,结束对话。 | 说准备好了。 | 接过保密誓约。 | 点头。 | 回答说知道了。
select1_1,1012,HTML_PAGE_SELECT1_1,exact,10001,HACTION_SETPRO2,exact,3,3,把这件事告诉[%dic:STR_DIC_N_Lusena]。 | 直接寻找次元之门。 | 结束对话。
select1_1,1012,HTML_PAGE_SELECT1_1,exact,10009,HACTION_SETPRO10,exact,7,7,获取第一种图案。 | 结束对话。
select1_1,1012,HTML_PAGE_SELECT1_1,exact,1002,HACTION_QUEST_ACCEPT_1,exact,3,3,接受。
select1_1,1012,HTML_PAGE_SELECT1_1,exact,1003,HACTION_QUEST_REFUSE_1,exact,3,3,拒绝。
select1_1,1012,HTML_PAGE_SELECT1_1,exact,1007,HACTION_ASK_QUEST_ACCEPT,exact,899,899,点头。 | 说可以帮他送。 | 继续听。 | 说不吃。 | 你好像对黑暗术古很关心嘛。
select1_1,1012,HTML_PAGE_SELECT1_1,exact,1008,HACTION_FINISH_DIALOG,exact,7,7,结束对话。 | 料理完成。 | 就那么放下了。
select1_1,1012,HTML_PAGE_SELECT1_1,exact,1011,HACTION_SELECT1,exact,80,80,重新考虑一下。 | 仔细查看物品。 | 再考虑一下。 | 跟他说再考虑一下。 | 跟她说再考虑一下。
select1_1,1012,HTML_PAGE_SELECT1_1,exact,1013,HACTION_SELECT1_1_1,exact,212,212,点头。 | 其中可能会有你的派遣队员。 | 继续听。 | 询问该如何帮忙。 | 只有布里特拉军可以？
select1_1,1012,HTML_PAGE_SELECT1_1,exact,10255,HACTION_SET_SUCCEED,exact,25,25,结束对话。
select1_1,1012,HTML_PAGE_SELECT1_1,exact,1034,HACTION_SELECT1_1_2,exact,31,31,说任务太麻烦了。 | 不愿意。 | 选择加工。 | 我想要交换下衣。 | 我拥有大剑。
select1_1,1012,HTML_PAGE_SELECT1_1,exact,1055,HACTION_SELECT1_1_3,exact,12,12,我想要交换鞋子。 | 我拥有战戟。 | 我想交换鞋子。 | 我有战戟。
select1_1,1012,HTML_PAGE_SELECT1_1,exact,1076,HACTION_SELECT1_1_4,exact,12,12,我想要交换护肩。 | 我拥有短剑。 | 我想交换护肩。 | 我有短剑。
select1_1,1012,HTML_PAGE_SELECT1_1,exact,1097,HACTION_SELECT1_2,exact,20,20,继续对话。 | 继续听。 | 我想购买艾尔米提亚之大剑图案。 | 我想购买艾尔米提亚之金属胸甲图案。 | 我想购买艾尔米提亚之长袍腰带图案。
