quest_id	client_rows	reward_var0	last_start_node	last_start_var0	recovery	client_file	client_section0	last_row_text	mirror_id	mirror_shape	mirror_reward_var0	mirror_last_row_text	mirror_is_single_side
10530	11	9	s8	8	True	quest_q10530.html		再次和[%dic:STR_DIC_N_Jucleas]%对话	20530	ALIGNED	9	再次和[%dic:STR_DIC_N_Balder]%对话	NO
11010	4	0	stage2	2	False	QUEST_Q11010.html		和[%dic:STR_DIC_N_Naiting]对话					NO
11147	6	4	s4	4	False	quest_q11147.html		和[%dic:STR_DIC_N_Rollia]对话					NO
14016	4	2	s2	2	False	quest_q14016.html		向[%dic:STR_DIC_FLA09]的[%dic:STR_DIC_LA19]报告	24016	MISSING_TAIL_ROWS	4	向[%dic:STR_DIC_N_Sueron]报告	NO
14041	8	6	s6	6	False	quest_q14041.html		和[%dic:STR_DIC_N_Claudia]对话	24041	MISSING_LAST_ROW	6	和[%dic:STR_DIC_N_Spyr]进行对话	NO
14042	6	4	started	0	False	quest_q14042.html		向[%dic:STR_DIC_N_Nereus]报告结果	24042	MISSING_LAST_ROW	4	向[%dic:STR_DIC_N_Lakadi]报告结果	NO
14044	5	3	s3	3	False	quest_q14044.html		和[%dic:STR_DIC_N_Ab1_NPC_LugBug]进行对话	24044	MISSING_LAST_ROW	6	向[%dic:STR_DIC_N_Scoda]报告结果	NO
14047	8	6	s6	6	False	quest_q14047.html		向[%dic:STR_DIC_N_Juditio]报告结果					NO
14112	3	1	started	0	False	quest_q14112.html		和[%dic:STR_DIC_LA54]%对话	24112	MISSING_TAIL_ROWS	0	告诉[%dic:STR_DIC_N_DF1A_Brodir_E]	NO
14123	3	0	started	0	False	quest_q14123.html		向[%dic:STR_DIC_W_LF2_SZ_E2_SUB_1]的[%dic:STR_DIC_N_Dionera]%报告	24123	MISSING_LAST_ROW	1	向[%dic:STR_DIC_W_DF2_SUB_E2_1]的[%dic:STR_DIC_N_DF2_NPC_Ananta]%报告	NO
15300	15	13	s13	13	True	quest_q15300.html		在希哥尼亚和代理人[%dic:STR_DIC_N_LF5_Dike_E]%对话	25300	MISSING_LAST_ROW	13	和厄夏勒的代理人[%dic:STR_DIC_N_DF5_Skuldun_E]%对话	NO
16800	3	1	started	0	False	quest_q16800.html		向在[%dic:STR_DIC_W_IDEternity_01]等待的代理人维达报告	26800	STATES_BEYOND_ROWS	3	向在[%dic:STR_DIC_W_IDEternity_01]等待的代理人佩莱格兰报告	NO
18805	3	1	s1	1	False	quest_q18805.html		和[%dic:STR_DIC_N_Shugo_housing_rec]对话	28805	MISSING_LAST_ROW	1	同[%dic:STR_DIC_N_Shugo_housing_drec]对话	NO
19064	2	0	started	0	False	quest_q19064.html		带着米拉詹特圣骑士徽章和[%dic:STR_DIC_I_relic_02]，和[%dic:STR_DIC_N_Jucleas]对话[%collectitem]	29064	MISSING_LAST_ROW	0	带着潘利尔的犬牙徽章和[%dic:STR_DIC_I_relic_d_02]，和[%dic:STR_DIC_N_Balder]对话[%collectitem]	NO
20100	6	4	s4	4	False	quest_q20100.html		重新和[%dic:STR_DIC_N_LDF4_Advance_D_Kahrun]%对话	10100	MISSING_LAST_ROW	4	重新和[%dic:STR_DIC_N_LDF4_Advance_L_Kahrun]%对话	NO
24041	8	6	s6	6	False	quest_q24041.html		和[%dic:STR_DIC_N_Spyr]进行对话	14041	MISSING_LAST_ROW	6	和[%dic:STR_DIC_N_Claudia]对话	NO
24042	6	4	started	0	False	quest_q24042.html		向[%dic:STR_DIC_N_Lakadi]报告结果	14042	MISSING_LAST_ROW	4	向[%dic:STR_DIC_N_Nereus]报告结果	NO
24043	8	6	s6	6	False	quest_q24043.html		向[%dic:STR_DIC_N_Herz]报告结果	14043	STATES_BEYOND_ROWS	None	和[%dic:STR_DIC_N_Ventus]进行对话	NO
24044	8	6	s6	6	False	quest_q24044.html		向[%dic:STR_DIC_N_Scoda]报告结果	14044	MISSING_LAST_ROW	3	和[%dic:STR_DIC_N_Ab1_NPC_LugBug]进行对话	NO
24045	6	4	s4	4	False	quest_q24045.html		向[%dic:STR_DIC_N_Holm]报告结果	14045	STATES_BEYOND_ROWS	12	向[%dic:STR_DIC_N_Shugo_AB1_13]报告	NO
24120	3	1	started	0	False	quest_q24120.html		和[%dic:STR_DIC_W_DF2_SUB_A3]的[%dic:STR_DIC_N_Tree_Move_Nabalu]%对话	14120	ALIGNED	1	去[%dic:STR_DIC_W_LF2_SZ_A2]的[%dic:STR_DIC_E_LF2_Cherubim_Basket]中搜集水罐，然后交给[%dic:STR_DIC_W_LF2_SZ_B]的[%dic:STR_DIC_N_Tree_NoMove_Lodas]%[%collectitem]	NO
24123	3	1	started	0	False	quest_q24123.html		向[%dic:STR_DIC_W_DF2_SUB_E2_1]的[%dic:STR_DIC_N_DF2_NPC_Ananta]%报告	14123	MISSING_LAST_ROW	0	向[%dic:STR_DIC_W_LF2_SZ_E2_SUB_1]的[%dic:STR_DIC_N_Dionera]%报告	NO
25300	15	13	s13	13	True	quest_q25300.html		和厄夏勒的代理人[%dic:STR_DIC_N_DF5_Skuldun_E]%对话	15300	MISSING_LAST_ROW	13	在希哥尼亚和代理人[%dic:STR_DIC_N_LF5_Dike_E]%对话	NO
28805	3	1	s1	1	False	quest_q28805.html		同[%dic:STR_DIC_N_Shugo_housing_drec]对话	18805	MISSING_LAST_ROW	1	和[%dic:STR_DIC_N_Shugo_housing_rec]对话	NO
29064	2	0	started	0	False	quest_q29064.html		带着潘利尔的犬牙徽章和[%dic:STR_DIC_I_relic_d_02]，和[%dic:STR_DIC_N_Balder]对话[%collectitem]	19064	MISSING_LAST_ROW	0	带着米拉詹特圣骑士徽章和[%dic:STR_DIC_I_relic_02]，和[%dic:STR_DIC_N_Jucleas]对话[%collectitem]	NO
30614	2	0	None	None	False	quest_q30614.html	Progress(SECTION_0==0; SECTION_2<15)	向[%dic:STR_DIC_N_Astella]报告					NO
39003	2	0	started	0	False	quest_q39003.html		和[%dic:STR_DIC_NPC_DF2a_Nevma_G_LHM]对话					NO
49003	2	0	started	0	False	quest_q49003.html		和[%dic:STR_DIC_N_dromik]对话					NO
50008	2	0	started	0	False	quest_q50008.html		与[%dic:STR_DIC_N_LC1_ChristmasEvent_Santa]对话					NO
51008	2	0	started	0	False	quest_q51008.html		和[%dic:STR_DIC_E_DF_ChristmasEvent_Santa]对话					NO
51010	3	1	started	0	False	quest_q51010.html		和[%dic:STR_DIC_E_single_shugo_d]见面					NO
51020	3	1	started	0	False	quest_q51020.html		和[%dic:STR_DIC_E_single_shugo_d]对话					NO
80255	2	0	started	0	False	quest_q80255.html		和帕尔图对话					NO
80256	2	0	started	0	False	quest_q80256.html		和布巴纳对话					NO
80601	2	0	started	0	False	quest_q80601.html		向伊斯达报告					NO
80606	2	0	started	0	False	quest_q80606.html		向夏尔梅因报告					NO
80690	3	1	None	None	False	quest_q80690.html		请向[%dic:STR_DIC_NPC_IDSweep_IN_NPC03]报告					NO
80989	2	0	started	0	False	QUEST_Q80989.html		回到大城市，再次和咕咕咻对话吧。					NO
80990	2	0	started	0	False	QUEST_Q80990.html		回到大城市，再次和咕咕咻对话吧。					NO
