quest_id	class	row_status	client_rows	missing_actions	missing_action_pages	shown_but_unrouted	page_never_shown	shape	row_state_verdict	visible_state_var0	rows_without_state	reward_var0	xml_states	xml_fields	last_commit	reason
1472	仍缺_客户端页面从未下发	行状态已收口	2	SETPRO1	SETPRO1->SELECT1		SETPRO1	ALIGNED	ROW_STATE_ALIGNED	0 1		1	started:START@0 reward:REWARD@1	var0	7a7d27809 2026-09-21 fix(quest): 领奖行全库审计批次 1-7：375 个任务行状态与领奖投影收口	1 个动作所在页面 XML 从未下发（错页/跳页）：SETPRO1
1479	仍缺_客户端页面从未下发	行状态未收口	3	SELECT2_1 SELECT3_1 SETPRO1 SETPRO2	SELECT2_1->SELECT2 SELECT3_1->SELECT3 SETPRO1->SELECT2_1 SETPRO2->SELECT3_1		SELECT2_1 SELECT3_1 SETPRO1 SETPRO2	MISSING_LAST_ROW	ROW_WITHOUT_STATE	0 1	2	1	started:START@0 reward:REWARD@1		a993a0f5e 2026-08-13 fix(quest): align metadata with client quest.xml across six audit batches	4 个动作所在页面 XML 从未下发（错页/跳页）：SELECT2_1 SELECT3_1 SETPRO1 SETPRO2
1483	仍缺_客户端页面从未下发	行状态已收口	3	SELECT3_1 SETPRO2	SELECT3_1->SELECT3 SETPRO2->SELECT3_1		SELECT3_1 SETPRO2	ALIGNED	ROW_STATE_ALIGNED	0 1 2		2	started:START@0 stage1:START@1 reward:REWARD@2	var0	7a7d27809 2026-09-21 fix(quest): 领奖行全库审计批次 1-7：375 个任务行状态与领奖投影收口	2 个动作所在页面 XML 从未下发（错页/跳页）：SELECT3_1 SETPRO2
1484	仍缺_客户端页面从未下发	行状态已收口	4	SELECT3_1 SELECT4_1 SETPRO2 SETPRO3	SELECT3_1->SELECT3 SELECT4_1->SELECT4 SETPRO2->SELECT3_1 SETPRO3->SELECT4_1		SELECT3_1 SELECT4_1 SETPRO2 SETPRO3	ALIGNED	ROW_STATE_ALIGNED	0 1 2 3		3	started:START@0 stage1:START@1 stage2:START@2 reward:REWARD@3	var0	7a7d27809 2026-09-21 fix(quest): 领奖行全库审计批次 1-7：375 个任务行状态与领奖投影收口	4 个动作所在页面 XML 从未下发（错页/跳页）：SELECT3_1 SELECT4_1 SETPRO2 SETPRO3
1489	噪声_无START/REWARD节点	行状态未收口	4	SELECT1_1 SELECT2_1 SETPRO1	SELECT1_1->SELECT1 SELECT2_1->SELECT2 SETPRO1->SELECT2_1		SELECT1_1 SELECT2_1 SETPRO1	NO_STATE	ROW_WITHOUT_STATE		0 1 2 3	None			a993a0f5e 2026-08-13 fix(quest): align metadata with client quest.xml across six audit batches	XML 只有元数据/其它状态轴（fields=-）
1514	仍缺_客户端页面从未下发	行状态未收口	3	SELECT2_1 SELECT3_1 SETPRO1 SETPRO2	SELECT2_1->SELECT2 SELECT3_1->SELECT3 SETPRO1->SELECT2_1 SETPRO2->SELECT3_1		SELECT2_1 SELECT3_1 SETPRO1 SETPRO2	MISSING_TAIL_ROWS	ROW_WITHOUT_STATE	0	1 2	0	started:START@0 reward:REWARD@0		7268098e8 2026-09-12 fix(quest): close client dialog contract audit failures	4 个动作所在页面 XML 从未下发（错页/跳页）：SELECT2_1 SELECT3_1 SETPRO1 SETPRO2
1540	仍缺_客户端页面从未下发	行状态已收口	4	SELECT3_1 SELECT4_1 SETPRO2 SETPRO3	SELECT3_1->SELECT3 SELECT4_1->SELECT4 SETPRO2->SELECT3_1 SETPRO3->SELECT4_1		SELECT3_1 SELECT4_1 SETPRO2 SETPRO3	ALIGNED	ROW_STATE_ALIGNED	0 1 2 3		3	started:START@0 stage1:START@1 stage2:START@2 reward:REWARD@3	var0	7a7d27809 2026-09-21 fix(quest): 领奖行全库审计批次 1-7：375 个任务行状态与领奖投影收口	4 个动作所在页面 XML 从未下发（错页/跳页）：SELECT3_1 SELECT4_1 SETPRO2 SETPRO3
1574	仍缺_客户端页面从未下发	行状态已收口	4	SELECT3_1 SELECT4_1 SETPRO2 SETPRO3	SELECT3_1->SELECT3 SELECT4_1->SELECT4 SETPRO2->SELECT3_1 SETPRO3->SELECT4_1		SELECT3_1 SELECT4_1 SETPRO2 SETPRO3	ALIGNED	ROW_STATE_ALIGNED	0 1 2 3		3	started:START@0 stage1:START@1 stage2:START@2 reward:REWARD@3	var0	7a7d27809 2026-09-21 fix(quest): 领奖行全库审计批次 1-7：375 个任务行状态与领奖投影收口	4 个动作所在页面 XML 从未下发（错页/跳页）：SELECT3_1 SELECT4_1 SETPRO2 SETPRO3
1582	仍缺_客户端页面从未下发	行状态未收口	4	SELECT3_1 SELECT3_1_1 SELECT3_1_2 SETPRO3 SETPRO4	SELECT3_1->SELECT3 SELECT3_1_1->SELECT3_1 SELECT3_1_2->SELECT3_1 SETPRO3->SELECT3_1_1 SETPRO4->SELECT3_1_2		SELECT3_1 SELECT3_1_1 SELECT3_1_2 SETPRO3 SETPRO4	MISSING_TAIL_ROWS	ROW_WITHOUT_STATE	0	1 2 3	0	started:START@0 reward:REWARD@0		f2470b4dc 2026-09-13 fix(quest): purge erroneous QUEST_REFUSE_4 overrides restoring SHOW_ASK_QUEST_ACCEPT_WINDOW	5 个动作所在页面 XML 从未下发（错页/跳页）：SELECT3_1 SELECT3_1_1 SELECT3_1_2 SETPRO3 SETPRO4
1643	仍缺_页面已下发但无路由	行状态未收口	5	SETPRO1	SETPRO1->SELECT1_1	SETPRO1		MISSING_TAIL_ROWS	ROW_WITHOUT_STATE	0	1 2 3 4	0	started:START@0 reward:REWARD@0		de7c36d9d 2026-09-14 fix(quest): restore lost work-items declarations across the production catalog	1 个动作所在页面已由 XML 下发但动作无路由：SETPRO1
1721	仍缺_客户端页面从未下发	行状态未收口	3	SELECT3_1 SETPRO2	SELECT3_1->SELECT3 SETPRO2->SELECT3_1		SELECT3_1 SETPRO2	MISSING_LAST_ROW	ROW_WITHOUT_STATE	0 1	2	0	started:START@0 stage1:START@1 reward:REWARD@0		de7c36d9d 2026-09-14 fix(quest): restore lost work-items declarations across the production catalog	2 个动作所在页面 XML 从未下发（错页/跳页）：SELECT3_1 SETPRO2
1724	仍缺_客户端页面从未下发	行状态未收口	3	SELECT3_1 SETPRO2	SELECT3_1->SELECT3 SETPRO2->SELECT3_1		SELECT3_1 SETPRO2	MISSING_LAST_ROW	ROW_WITHOUT_STATE	0 1	2	0	started:START@0 stage1:START@1 reward:REWARD@0		de7c36d9d 2026-09-14 fix(quest): restore lost work-items declarations across the production catalog	2 个动作所在页面 XML 从未下发（错页/跳页）：SELECT3_1 SETPRO2
1900	仍缺_客户端页面从未下发	行状态已收口	5	SELECT6_1 SELECT6_1_1	SELECT6_1->SELECT6 SELECT6_1_1->SELECT6_1		SELECT6_1 SELECT6_1_1	ALIGNED	ROW_STATE_ALIGNED	0 1 2 3 4		4	started:START@0 s1:START@1 s2:START@2 s3:START@3 reward:REWARD@4	var0	7a7d27809 2026-09-21 fix(quest): 领奖行全库审计批次 1-7：375 个任务行状态与领奖投影收口	2 个动作所在页面 XML 从未下发（错页/跳页）：SELECT6_1 SELECT6_1_1
1908	噪声_无START/REWARD节点	行状态未收口	2	SELECT2_1 SETPRO1 SETPRO21 SETPRO22 SETPRO23	SELECT2_1->SELECT2 SETPRO1->SELECT2_1 SETPRO21->SELECT5 SETPRO22->SELECT5 SETPRO23->SELECT5		SELECT2_1 SETPRO1 SETPRO21 SETPRO22 SETPRO23	NO_STATE	ROW_WITHOUT_STATE		0 1	None			edf65aaff 2026-08-09 refactor(quest): retire legacy XML owners, delete unreachable level-999 quests	XML 只有元数据/其它状态轴（fields=-）
1922	仍缺_客户端页面从未下发	行状态未收口	10	SELECT10_1 SELECT2_1 SETPRO11 SETPRO13 SETPRO2	SELECT10_1->SELECT10 SELECT2_1->SELECT2 SETPRO11->SELECT1_1_1_1 SETPRO13->SELECT1_1_1_3 SETPRO2->SELECT2_1		SELECT10_1 SELECT2_1 SETPRO11 SETPRO13 SETPRO2	INTERIOR_GAP	ROW_WITHOUT_STATE	0 4 5 7	1 2 3 6 8 9	7	started:START@0 s4:START@4 s5:START@5 s7:START@7 reward:REWARD@7	var0 var4	ce4690091 2026-09-14 fix(quest): allow optional 1922 turn-in item cleanup	5 个动作所在页面 XML 从未下发（错页/跳页）：SELECT10_1 SELECT2_1 SETPRO11 SETPRO13 SETPRO2
1937	仍缺_客户端页面从未下发	行状态已收口	4	SELECT3_1 SELECT4_1 SETPRO2 SETPRO3	SELECT3_1->SELECT3 SELECT4_1->SELECT4 SETPRO2->SELECT3_1 SETPRO3->SELECT4_1		SELECT3_1 SELECT4_1 SETPRO2 SETPRO3	ALIGNED	ROW_STATE_ALIGNED	0 1 2 3		3	started:START@0 stage1:START@1 stage2:START@2 reward:REWARD@3	var0	7a7d27809 2026-09-21 fix(quest): 领奖行全库审计批次 1-7：375 个任务行状态与领奖投影收口	4 个动作所在页面 XML 从未下发（错页/跳页）：SELECT3_1 SELECT4_1 SETPRO2 SETPRO3
1938	仍缺_客户端页面从未下发	行状态未收口	3	SELECT2_1 SELECT3_1 SETPRO1 SETPRO2	SELECT2_1->SELECT2 SELECT3_1->SELECT3 SETPRO1->SELECT2_1 SETPRO2->SELECT3_1		SELECT2_1 SELECT3_1 SETPRO1 SETPRO2	MISSING_TAIL_ROWS	ROW_WITHOUT_STATE	0	1 2	0	started:START@0 reward:REWARD@0		ab65b3d45 2026-08-13 fix(quest): align dialog chains with client evidence across four repair passes	4 个动作所在页面 XML 从未下发（错页/跳页）：SELECT2_1 SELECT3_1 SETPRO1 SETPRO2
1989	仍缺_客户端页面从未下发	行状态已收口	5	SELECT5_3_1 SELECT5_3_1_1 SELECT5_4_1 SELECT5_4_1_1	SELECT5_3_1->SELECT5_3 SELECT5_3_1_1->SELECT5_3_1 SELECT5_4_1->SELECT5_4 SELECT5_4_1_1->SELECT5_4_1		SELECT5_3_1 SELECT5_3_1_1 SELECT5_4_1 SELECT5_4_1_1	ALIGNED	ROW_STATE_ALIGNED	0 1 2 3 4		None	started:START@0 stage-complete:START@1 choice:START@2 combat-report:START@3 class-report:START@4 reward-combat:REWARD@3 reward-class:REWARD@4	var0	284ecf71b 2026-09-11 fix(quest): restore phased dialog chains for 1989 2722 and 19008	4 个动作所在页面 XML 从未下发（错页/跳页）：SELECT5_3_1 SELECT5_3_1_1 SELECT5_4_1 SELECT5_4_1_1
2000	噪声_无对话页路由	行状态未收口	4	SELECT1_1 SELECT2_1 SETPRO1	SELECT1_1->SELECT1 SELECT2_1->SELECT2 SETPRO1->SELECT2_1		SELECT1_1 SELECT2_1 SETPRO1	MISSING_TAIL_ROWS	ROW_WITHOUT_STATE	0	1 2 3	None	started:START@0		0ab7e4db8 2026-08-12 feat(quest): complete compact XML migration	XML 未引用任何 SHOW_QUEST_PAGE（过场/自动任务）
2223	仍缺_客户端页面从未下发	行状态未收口	4	SELECT3_1	SELECT3_1->SELECT3		SELECT3_1	MISSING_TAIL_ROWS	ROW_WITHOUT_STATE	0 1	2 3	1	started:START@0 step1:START@1 reward:REWARD@1		f07723711 2026-09-10 fix(quest): align client dialog pages and routes	1 个动作所在页面 XML 从未下发（错页/跳页）：SELECT3_1
2239	仍缺_客户端页面从未下发	行状态未收口	3	SETPRO2 SETPRO3	SETPRO2->SELECT3_2 SETPRO3->SELECT4		SETPRO2 SETPRO3	MISSING_TAIL_ROWS	ROW_WITHOUT_STATE	0	1 2	0	started:START@0 reward:REWARD@0		cd38b7dea 2026-09-17 fix(quest): replace unconditioned NPC_REPORT hand-in routes with item-gated routes	2 个动作所在页面 XML 从未下发（错页/跳页）：SETPRO2 SETPRO3
2278	仍缺_客户端页面从未下发	行状态已收口	4	SELECT3_1 SELECT4_1 SETPRO2 SETPRO3	SELECT3_1->SELECT3 SELECT4_1->SELECT4 SETPRO2->SELECT3_1 SETPRO3->SELECT4_1		SELECT3_1 SELECT4_1 SETPRO2 SETPRO3	ALIGNED	ROW_STATE_ALIGNED	0 1 2 3		3	started:START@0 stage1:START@1 stage2:START@2 reward:REWARD@3	var0	7a7d27809 2026-09-21 fix(quest): 领奖行全库审计批次 1-7：375 个任务行状态与领奖投影收口	4 个动作所在页面 XML 从未下发（错页/跳页）：SELECT3_1 SELECT4_1 SETPRO2 SETPRO3
2279	仍缺_客户端页面从未下发	行状态已收口	3	SELECT3_1 SETPRO2	SELECT3_1->SELECT3 SETPRO2->SELECT3_1		SELECT3_1 SETPRO2	ALIGNED	ROW_STATE_ALIGNED	0 1 2		2	started:START@0 stage1:START@1 reward:REWARD@2	var0	7a7d27809 2026-09-21 fix(quest): 领奖行全库审计批次 1-7：375 个任务行状态与领奖投影收口	2 个动作所在页面 XML 从未下发（错页/跳页）：SELECT3_1 SETPRO2
2289	仍缺_客户端页面从未下发	行状态未收口	4	SELECT3_1 SETPRO3	SELECT3_1->SELECT3 SETPRO3->SELECT3_1		SELECT3_1 SETPRO3	MISSING_TAIL_ROWS	ROW_WITHOUT_STATE	0	1 2 3	0	started:START@0 reward:REWARD@0		cd38b7dea 2026-09-17 fix(quest): replace unconditioned NPC_REPORT hand-in routes with item-gated routes	2 个动作所在页面 XML 从未下发（错页/跳页）：SELECT3_1 SETPRO3
2307	仍缺_客户端页面从未下发	行状态未收口	3	SELECT1_1 SELECT1_2 SELECT1_3 SELECT1_4 SELECT5_1 SETPRO1 SETPRO5	SELECT1_1->SELECT1 SELECT1_2->SELECT1 SELECT1_3->SELECT1 SELECT1_4->SELECT1 SELECT5_1->SELECT5 SETPRO1->SELECT5_2 SETPRO5->SELECT5_1		SELECT1_1 SELECT1_2 SELECT1_3 SELECT1_4 SELECT5_1 SETPRO1 SETPRO5	MISSING_TAIL_ROWS	ROW_WITHOUT_STATE	0	1 2	0	started:START@0 reward:REWARD@0		cd38b7dea 2026-09-17 fix(quest): replace unconditioned NPC_REPORT hand-in routes with item-gated routes	7 个动作所在页面 XML 从未下发（错页/跳页）：SELECT1_1 SELECT1_2 SELECT1_3 SELECT1_4 SELECT5_1 SETPRO1 SETPRO5
2372	仍缺_客户端页面从未下发	行状态未收口	6	SELECT2_1 SELECT2_1_1 SELECT4_1 SELECT4_1_1 SETPRO2 SETPRO4	SELECT2_1->SELECT2 SELECT2_1_1->SELECT2_1 SELECT4_1->SELECT4 SELECT4_1_1->SELECT4_1 SETPRO2->SELECT2_1_1 SETPRO4->SELECT4_1_1		SELECT2_1 SELECT2_1_1 SELECT4_1 SELECT4_1_1 SETPRO2 SETPRO4	MISSING_TAIL_ROWS	ROW_WITHOUT_STATE	0 1	2 3 4 5	1	started:START@0 reward:REWARD@1		75312dcdc 2026-09-19 fix(quest): continue hand-over in the same dialogue when the client check page is local-close only	6 个动作所在页面 XML 从未下发（错页/跳页）：SELECT2_1 SELECT2_1_1 SELECT4_1 SELECT4_1_1 SETPRO2 SETPRO4
2428	仍缺_客户端页面从未下发	行状态已收口	3	SELECT3_1 SETPRO2	SELECT3_1->SELECT3 SETPRO2->SELECT3_1		SELECT3_1 SETPRO2	ALIGNED	ROW_STATE_ALIGNED	0 1 2		2	started:START@0 stage1:START@1 reward:REWARD@2	var0	7a7d27809 2026-09-21 fix(quest): 领奖行全库审计批次 1-7：375 个任务行状态与领奖投影收口	2 个动作所在页面 XML 从未下发（错页/跳页）：SELECT3_1 SETPRO2
2449	仍缺_页面已下发但无路由	行状态已收口	2	SETPRO1	SETPRO1->SELECT1_1	SETPRO1		ALIGNED	ROW_STATE_ALIGNED	0 1		1	started:START@0 reward:REWARD@1	var0	7a7d27809 2026-09-21 fix(quest): 领奖行全库审计批次 1-7：375 个任务行状态与领奖投影收口	1 个动作所在页面已由 XML 下发但动作无路由：SETPRO1
2480	仍缺_客户端页面从未下发	行状态已收口	3	SELECT3_1 SETPRO2	SELECT3_1->SELECT3 SETPRO2->SELECT3_1		SELECT3_1 SETPRO2	ALIGNED	ROW_STATE_ALIGNED	0 1 2		2	started:START@0 stage1:START@1 reward:REWARD@2	var0	7a7d27809 2026-09-21 fix(quest): 领奖行全库审计批次 1-7：375 个任务行状态与领奖投影收口	2 个动作所在页面 XML 从未下发（错页/跳页）：SELECT3_1 SETPRO2
2513	仍缺_页面已下发但无路由	行状态已收口	2	SELECT3_1 SETPRO1 SETPRO3	SELECT3_1->SELECT3 SETPRO1->SELECT1_1 SETPRO3->SELECT3_1	SETPRO1	SELECT3_1 SETPRO3	ALIGNED	ROW_STATE_ALIGNED	0 1		1	started:START@0 reward:REWARD@1	var0	7a7d27809 2026-09-21 fix(quest): 领奖行全库审计批次 1-7：375 个任务行状态与领奖投影收口	1 个动作所在页面已由 XML 下发但动作无路由：SETPRO1
2515	仍缺_客户端页面从未下发	行状态已收口	4	SELECT3_1 SELECT4_1 SETPRO2 SETPRO3	SELECT3_1->SELECT3 SELECT4_1->SELECT4 SETPRO2->SELECT3_1 SETPRO3->SELECT4_1		SELECT3_1 SELECT4_1 SETPRO2 SETPRO3	ALIGNED	ROW_STATE_ALIGNED	0 1 2 3		3	started:START@0 stage1:START@1 stage2:START@2 reward:REWARD@3	var0	7a7d27809 2026-09-21 fix(quest): 领奖行全库审计批次 1-7：375 个任务行状态与领奖投影收口	4 个动作所在页面 XML 从未下发（错页/跳页）：SELECT3_1 SELECT4_1 SETPRO2 SETPRO3
2523	仍缺_客户端页面从未下发	行状态已收口	4	SELECT3_1 SELECT4_1 SETPRO2 SETPRO3	SELECT3_1->SELECT3 SELECT4_1->SELECT4 SETPRO2->SELECT3_1 SETPRO3->SELECT4_1		SELECT3_1 SELECT4_1 SETPRO2 SETPRO3	ALIGNED	ROW_STATE_ALIGNED	0 1 2 3		3	started:START@0 stage1:START@1 stage2:START@2 reward:REWARD@3	var0	7a7d27809 2026-09-21 fix(quest): 领奖行全库审计批次 1-7：375 个任务行状态与领奖投影收口	4 个动作所在页面 XML 从未下发（错页/跳页）：SELECT3_1 SELECT4_1 SETPRO2 SETPRO3
2538	仍缺_客户端页面从未下发	行状态已收口	4	SELECT3_1 SELECT4_1 SETPRO2 SETPRO3	SELECT3_1->SELECT3 SELECT4_1->SELECT4 SETPRO2->SELECT3_1 SETPRO3->SELECT4_1		SELECT3_1 SELECT4_1 SETPRO2 SETPRO3	ALIGNED	ROW_STATE_ALIGNED	0 1 2 3		3	started:START@0 stage1:START@1 stage2:START@2 reward:REWARD@3	var0	7a7d27809 2026-09-21 fix(quest): 领奖行全库审计批次 1-7：375 个任务行状态与领奖投影收口	4 个动作所在页面 XML 从未下发（错页/跳页）：SELECT3_1 SELECT4_1 SETPRO2 SETPRO3
2600	仍缺_客户端页面从未下发	行状态未收口	3	SELECT3_1	SELECT3_1->SELECT3		SELECT3_1	MISSING_LAST_ROW	ROW_WITHOUT_STATE	0 1	2	0	started:START@0 s1:START@1 reward:REWARD@0		f07723711 2026-09-10 fix(quest): align client dialog pages and routes	1 个动作所在页面 XML 从未下发（错页/跳页）：SELECT3_1
2646	仍缺_客户端页面从未下发	行状态未收口	4	SELECT3_1 SELECT4_1 SETPRO2 SETPRO3	SELECT3_1->SELECT3 SELECT4_1->SELECT4 SETPRO2->SELECT3_1 SETPRO3->SELECT4_1		SELECT3_1 SELECT4_1 SETPRO2 SETPRO3	MISSING_LAST_ROW	ROW_WITHOUT_STATE	0 1 2	3	0	started:START@0 stage1:START@1 stage2:START@2 reward:REWARD@0		319c0e5ec 2026-08-21 fix(quest): rebuild 38 multi-step TALK chains with stage nodes	4 个动作所在页面 XML 从未下发（错页/跳页）：SELECT3_1 SELECT4_1 SETPRO2 SETPRO3
2692	仍缺_客户端页面从未下发	行状态未收口	4	SELECT3_1 SELECT4_1 SETPRO2 SETPRO3	SELECT3_1->SELECT3 SELECT4_1->SELECT4 SETPRO2->SELECT3_1 SETPRO3->SELECT4_1		SELECT3_1 SELECT4_1 SETPRO2 SETPRO3	MISSING_LAST_ROW	ROW_WITHOUT_STATE	0 1 2	3	0	started:START@0 stage1:START@1 stage2:START@2 reward:REWARD@0		f07723711 2026-09-10 fix(quest): align client dialog pages and routes	4 个动作所在页面 XML 从未下发（错页/跳页）：SELECT3_1 SELECT4_1 SETPRO2 SETPRO3
2767	仍缺_客户端页面从未下发	行状态未收口	3	SELECT3_1 SETPRO2	SELECT3_1->SELECT3 SETPRO2->SELECT3_1		SELECT3_1 SETPRO2	MISSING_LAST_ROW	ROW_WITHOUT_STATE	0 1	2	0	started:START@0 stage1:START@1 reward:REWARD@0		f07723711 2026-09-10 fix(quest): align client dialog pages and routes	2 个动作所在页面 XML 从未下发（错页/跳页）：SELECT3_1 SETPRO2
2901	仍缺_客户端页面从未下发	行状态已收口	2	SELECT1_1 SELECT1_1_1	SELECT1_1->SELECT1 SELECT1_1_1->SELECT1_1		SELECT1_1 SELECT1_1_1	ALIGNED	ROW_STATE_ALIGNED	0 1		1	started:START@0 started1:START@1 reward:REWARD@1	var0	bde6d1163 2026-09-10 fix(quest): remove accept pages from automatic starts	2 个动作所在页面 XML 从未下发（错页/跳页）：SELECT1_1 SELECT1_1_1
2902	仍缺_客户端页面从未下发	行状态已收口	2	SELECT1_1 SELECT1_1_1	SELECT1_1->SELECT1 SELECT1_1_1->SELECT1_1		SELECT1_1 SELECT1_1_1	ALIGNED	ROW_STATE_ALIGNED	0 1		1	started:START@0 started1:START@1 reward:REWARD@1	var0	bde6d1163 2026-09-10 fix(quest): remove accept pages from automatic starts	2 个动作所在页面 XML 从未下发（错页/跳页）：SELECT1_1 SELECT1_1_1
2903	仍缺_客户端页面从未下发	行状态已收口	2	SELECT1_1 SELECT1_1_1	SELECT1_1->SELECT1 SELECT1_1_1->SELECT1_1		SELECT1_1 SELECT1_1_1	ALIGNED	ROW_STATE_ALIGNED	0 1		1	started:START@0 started1:START@1 reward:REWARD@1	var0	bde6d1163 2026-09-10 fix(quest): remove accept pages from automatic starts	2 个动作所在页面 XML 从未下发（错页/跳页）：SELECT1_1 SELECT1_1_1
2904	仍缺_客户端页面从未下发	行状态已收口	2	SELECT1_1 SELECT1_1_1	SELECT1_1->SELECT1 SELECT1_1_1->SELECT1_1		SELECT1_1 SELECT1_1_1	ALIGNED	ROW_STATE_ALIGNED	0 1		1	started:START@0 started1:START@1 reward:REWARD@1	var0	bde6d1163 2026-09-10 fix(quest): remove accept pages from automatic starts	2 个动作所在页面 XML 从未下发（错页/跳页）：SELECT1_1 SELECT1_1_1
